pnl,hold,win,open_vs_ama,gap_pct,exit,ticker
0.0,1,False,above,1.877827337524032,SX,MU
-0.024999976158142,0,False,below,-3.2014565246140583,SX,MU
-0.1750000715255737,7,False,above,0.0824555949275824,SX,MU
-0.012499988079071,0,False,below,-1.3560935214687406,SX,MU
-0.0499999523162841,2,False,above,2.7993165251760583,SX,MU
0.0625,4,True,above,2.9848600275068766,TP,MU
0.0,1,False,above,0.3636331105343052,SX,MU
0.0499999523162841,1,True,above,4.135193373304016,SX,MU
0.0625,0,True,above,3.0184430795937525,TP,MU
0.0374999046325683,0,True,above,1.793242930135299,SX,MU
0.0,1,False,above,4.480973918143242,SX,MU
0.0625,0,True,above,3.2511653545497334,SX,MU
0.0374999046325683,0,True,above,4.27724010710816,SX,MU
0.0,0,False,above,2.49893833004999,SX,MU
0.0750000476837158,2,True,above,3.8143907409303695,SX,MU
-0.1374998092651367,5,False,above,2.01326317264619,SX,MU
0.0374999046325683,1,True,above,5.848687106643187,SX,MU
-0.4124999046325683,7,False,above,1.7679698967281725,SX,MU
0.0,0,False,above,3.995465459975563,SX,MU
-0.1000003814697265,4,False,above,3.41714176057173,SX,MU
-0.3624997138977051,3,False,above,0.3085257259934352,SX,MU
0.125,3,True,above,5.313574686370441,SX,MU
-0.0500001907348632,0,False,below,-1.780341500069215,SX,MU
0.2124996185302734,0,True,above,2.360094678909642,TP,MU
0.0625,0,True,above,3.193100123520866,SX,MU
-1.0375003814697266,8,False,above,2.8898591603609387,SX,MU
-0.0875005722045898,2,False,above,1.0142053760707028,SX,MU
0.3249998092651367,0,True,above,1.8074732447041328,TP,MU
-0.34375,2,False,above,1.8904142855967507,SX,MU
-0.375,4,False,above,0.5642980073565029,SX,MU
-0.15625,1,False,above,0.8490697937341437,SX,MU
-0.09375,1,False,above,0.552361109928848,SX,MU
0.15625,1,True,above,2.811179125511632,SX,MU
-1.375,5,False,above,3.183812414783048,SX,MU
-1.0625,4,False,above,2.2842140062851146,SX,MU
0.4375,0,True,above,1.6971214345007295,SX,MU
1.625,0,True,above,3.2972256286303523,TP,MU
1.75,0,True,above,1.1693837400611908,TP,MU
0.5,0,True,above,1.6270332013497788,SX,MU
-3.5,6,False,above,6.071217068548896,SX,MU
-0.671875,2,False,above,10.823580478994518,SX,MU
0.3125,0,True,above,0.6083188114936137,SX,MU
-1.3125,3,False,above,4.163759736584863,SX,MU
0.0,1,False,above,6.396845112392066,SX,MU
0.1875,0,True,above,6.117897567671614,SX,MU
0.625,0,True,above,1.585477856236444,TP,MU
-0.125,2,False,below,-3.620246345820102,SX,MU
0.1875,0,True,below,-2.8953923778920214,SX,MU
0.375,0,True,above,1.3019493151686092,SX,MU
0.6875,0,True,below,-1.027858675122734,TP,MU
-0.21875,1,False,above,3.405164580688005,SX,MU
0.34375,2,True,above,6.595661466617525,SX,MU
0.5,1,True,above,7.807042848287575,TP,MU
0.125,0,True,above,4.137141295275822,SX,MU
0.625,0,True,above,3.696742703560596,TP,MU
0.6875,0,True,above,1.49135954618766,TP,MU
0.8125,0,True,above,12.997867337269447,TP,MU
-0.3125,4,False,above,8.537721406770993,SX,MU
-0.65625,4,False,above,2.8007113347664205,SX,MU
2.0,2,True,above,10.702716451500793,TP,MU
-0.40625,6,False,above,7.545018230151625,SX,MU
0.0625,0,True,above,3.155252027404275,SX,MU
0.375,0,True,above,2.9989140235441196,SX,MU
1.125,0,True,below,-1.0836362899092993,TP,MU
1.0625,2,True,above,10.55628856846302,TP,MU
-1.25,2,False,above,3.711657280914248,SX,MU
2.71875,0,True,above,3.331115169434403,TP,MU
-2.75,5,False,above,4.027853577872651,SX,MU
-0.1875,3,False,above,6.7063827587615865,SX,MU
2.4375,0,True,above,13.663393195177257,TP,MU
0.5625,1,True,above,4.820263292621928,SX,MU
-9.0,6,False,below,-1.6128990540717196,SX,MU
-0.25,3,False,above,3.552486041820414,SX,MU
4.375,0,True,above,12.77385929973898,TP,MU
-1.0,4,False,above,0.7026722420160642,SX,MU
6.125,0,True,above,8.450559674075976,TP,MU
2.75,0,True,above,2.7740680446167376,TP,MU
0.6875,0,True,above,5.904928173313598,SX,MU
2.75,0,True,above,0.9173926319329896,SX,MU
0.5625,2,True,above,7.541326788660899,SX,MU
4.6699981689453125,1,True,above,6.231423734765957,TP,MU
1.75,0,True,above,1.8810269591393,TP,MU
1.1100006103515625,0,True,above,3.6026629504682073,SX,MU
1.239999771118164,1,True,above,13.9366695629734,TP,MU
1.2000007629394531,0,True,below,-0.9919898417632752,TP,MU
1.269998550415039,1,True,above,5.854053509413858,TP,MU
1.1099987030029297,0,True,below,-0.9268505856084368,TP,MU
0.9900016784667968,0,True,above,2.723897397698357,SX,MU
-1.1500015258789062,2,False,above,6.8106725759180575,SX,MU
0.7600002288818359,1,True,above,11.382492701144086,TP,MU
0.529998779296875,0,True,above,2.2793361079248253,TP,MU
0.9399995803833008,0,True,above,9.719923960542909,TP,MU
0.8900003433227539,0,True,above,8.411317265846325,TP,MU
0.2800006866455078,1,True,below,-0.028494276777211,SX,MU
-0.880000114440918,3,False,above,2.3555076879953916,SX,MU
0.6700000762939453,1,True,above,4.917035658021352,TP,MU
0.119999885559082,1,True,above,7.360168371724224,SX,MU
0.2899999618530273,1,True,above,5.945659851708237,SX,MU
0.1999998092651367,2,True,above,5.734471221563426,SX,MU
-1.4399995803833008,5,False,above,1.4742643994253035,SX,MU
0.2999992370605469,0,True,above,5.327647785830576,SX,MU
0.3299999237060547,0,True,above,0.9436945621173212,SX,MU
0.0900001525878906,0,True,above,1.4686090457211172,SX,MU
