ticker,name,exchange,sector_yf
GIS,General Mills,NYSE,Consumer Defensive
GL,Globe Life,NYSE,Financial Services
GLW,Corning Inc.,NYSE,Technology
GM,General Motors,NYSE,Consumer Cyclical
GNRC,Generac,NYSE,Industrials
GNW,Genworth Financial,NYSE,Financial Services
GOOG,Alphabet Inc. (Class C),NYSE,Communication Services
GOOGL,Alphabet Inc. (Class A),NYSE,Communication Services
GPC,Genuine Parts Company,NYSE,Consumer Cyclical
GPN,Global Payments,NYSE,Financial Services
GPRE,Green Plains Inc,NASDAQ,Energy
GRMN,Garmin,NYSE,Consumer Cyclical
GS,Goldman Sachs,NYSE,Financial Services
GWW,W. W. Grainger,NYSE,Industrials
HAFC,Hanmi Financial,NASDAQ,Financial Services
HAL,Halliburton,NYSE,Energy
HALO,Halozyme Therapeutics,NASDAQ,Healthcare
HAS,Hasbro,NYSE,Consumer Cyclical
HBAN,Huntington Bancshares,NYSE,Financial Services
HBNC,Horizon Bancal,NASDAQ,Financial Services
HCA,HCA Healthcare,NYSE,Healthcare
HCKT,Hackett Group,NASDAQ,Technology
HD,Home Depot (The),NYSE,Consumer Cyclical
HIBB,Hibbett Inc,NASDAQ,Consumer Cyclical
HIG,Hartford (The),NYSE,Financial Services
HII,Huntington Ingalls Industries,NYSE,Industrials
HLT,Hilton Worldwide,NYSE,Consumer Cyclical
HOLX,Hologic,NYSE,Healthcare
HON,Honeywell,NYSE,Industrials
HOOD,Robinhood Markets,NYSE,Financial Services
HOPE,Hope Bancorp,NASDAQ,Financial Services
HPE,Hewlett Packard Enterprise,NYSE,Technology
HPQ,HP Inc.,NYSE,Technology
HRL,Hormel Foods,NYSE,Consumer Defensive
HRTX,Heron Therapeutics,NASDAQ,Healthcare
HSIC,Henry Schein,NYSE,Healthcare
HST,Host Hotels & Resorts,NYSE,Real Estate
HSY,Hershey Company (The),NYSE,Consumer Defensive
HTBK,Heritage Commerce Corp,NASDAQ,Financial Services
HUBB,Hubbell Incorporated,NYSE,Industrials
HUM,Humana,NYSE,Healthcare
HWM,Howmet Aerospace,NYSE,Industrials
IBCP,Independent Bank Corp (MI),NASDAQ,Financial Services
IBKR,Interactive Brokers,NYSE,Financial Services
IBM,IBM,NYSE,Technology
ICE,Intercontinental Exchange,NYSE,Financial Services
ICHR,Ichor Holdings,NASDAQ,Technology
IDCC,InterDigital Inc,NASDAQ,Technology
IDXX,Idexx Laboratories,NYSE,Healthcare
IEX,IDEX Corporation,NYSE,Industrials
IFF,International Flavors & Fragrances,NYSE,Basic Materials
IIIN,Insteel Industries,NYSE,Basic Materials
INBK,First Internet Bancorp,NASDAQ,Financial Services
INCY,Incyte,NYSE,Healthcare
INTC,Intel,NYSE,Technology
INTU,Intuit,NYSE,Technology
INVA,Innoviva Inc,NASDAQ,Healthcare
INVH,Invitation Homes,NYSE,Real Estate
IP,International Paper,NYSE,Basic Materials
IQV,IQVIA,NYSE,Healthcare
IR,Ingersoll Rand,NYSE,Industrials
IREN,Iris Energy,NASDAQ,Energy
IRM,Iron Mountain,NYSE,Real Estate
ISRG,Intuitive Surgical,NYSE,Healthcare
IT,Gartner,NYSE,Technology
ITRI,Itron Inc,NASDAQ,Technology
ITW,Illinois Tool Works,NYSE,Industrials
IVZ,Invesco,NYSE,Financial Services
J,Jacobs Solutions,NYSE,Industrials
JACK,Jack in the Box,NASDAQ,Consumer Cyclical
JBHT,J.B. Hunt,NYSE,Industrials
JBL,Jabil,NYSE,Technology
JCI,Johnson Controls,NYSE,Industrials
JJSF,J&J Snack Foods,NASDAQ,Consumer Defensive
JKHY,Jack Henry & Associates,NYSE,Financial Services
JNJ,Johnson & Johnson,NYSE,Healthcare
JPM,JPMorgan Chase,NYSE,Financial Services
KDP,Keurig Dr Pepper,NYSE,Consumer Defensive
KELYA,Kelly Services,NASDAQ,Industrials
KEY,KeyCorp,NYSE,Financial Services
KEYS,Keysight Technologies,NYSE,Technology
KFRC,Kforce Inc,NASDAQ,Industrials
KHC,Kraft Heinz,NYSE,Consumer Defensive
KIM,Kimco Realty,NYSE,Real Estate
KKR,KKR & Co.,NYSE,Financial Services
KLAC,KLA Corporation,NYSE,Technology
KMB,Kimberly-Clark,NYSE,Consumer Defensive
KMI,Kinder Morgan,NYSE,Energy
KO,Coca-Cola Company (The),NYSE,Consumer Defensive
KOP,Koppers Holdings,NYSE,Basic Materials
KR,Kroger,NYSE,Consumer Defensive
KTOS,Kratos Defense,NASDAQ,Industrials
KVUE,Kenvue,NYSE,Consumer Defensive
L,Loews Corporation,NYSE,Financial Services
LAKE,Lakeland Industries,NASDAQ,Industrials
LCII,LCI Industries,NYSE,Consumer Cyclical
LDOS,Leidos,NYSE,Industrials
LEN,Lennar,NYSE,Consumer Cyclical
LGIH,LGI Homes,NASDAQ,Consumer Cyclical
LH,Labcorp,NYSE,Healthcare
LHX,L3Harris,NYSE,Industrials
LII,Lennox International,NYSE,Industrials
LIN,Linde plc,NYSE,Basic Materials
LKFN,Lakeland Financial,NASDAQ,Financial Services
LLY,Lilly (Eli),NYSE,Healthcare
LMT,Lockheed Martin,NYSE,Industrials
LNT,Alliant Energy,NYSE,Utilities
LOVE,Lovesac Co,NASDAQ,Consumer Cyclical
LOW,Lowe's,NYSE,Consumer Cyclical
LQDT,Liquidity Services,NASDAQ,Industrials
LRCX,Lam Research,NYSE,Technology
LULU,Lululemon Athletica,NYSE,Consumer Cyclical
LUV,Southwest Airlines,NYSE,Industrials
LVS,Las Vegas Sands,NYSE,Consumer Cyclical
LW,Lamb Weston,NYSE,Consumer Defensive
LYB,LyondellBasell,NYSE,Basic Materials
LYV,Live Nation Entertainment,NYSE,Communication Services
MA,Mastercard,NYSE,Financial Services
MAA,Mid-America Apartment Communities,NYSE,Real Estate
MAR,Marriott International,NYSE,Consumer Cyclical
MAS,Masco,NYSE,Industrials
MBIN,Merchants Financial Group,NASDAQ,Financial Services
MBTF,MBT Financial Corp,NASDAQ,Financial Services
MCBS,MetroCity Bankshares,NASDAQ,Financial Services
MCD,McDonald's,NYSE,Consumer Cyclical
MCHP,Microchip Technology,NYSE,Technology
MCK,McKesson Corporation,NYSE,Healthcare
MCO,Moody's Corporation,NYSE,Financial Services
MDLZ,Mondelez International,NYSE,Consumer Defensive
MDT,Medtronic,NYSE,Healthcare
MDXG,MiMedx Group,NASDAQ,Healthcare
MET,MetLife,NYSE,Financial Services
META,Meta Platforms,NYSE,Communication Services
MGM,MGM Resorts,NYSE,Consumer Cyclical
MGPI,MGP Ingredients,NASDAQ,Consumer Defensive
MKC,McCormick & Company,NYSE,Consumer Defensive
MLAB,Mesa Labs,NASDAQ,Healthcare
MLKN,MillerKnoll Inc,NASDAQ,Consumer Cyclical
MLM,Martin Marietta Materials,NYSE,Basic Materials
MMM,3M,NYSE,Industrials
