variant,quarter,ticker,return_90d_pct,right_tail_bucket,mechanical_exclusion_category,mechanical_detail,candidate_rank_if_eligible,candidate_hc_score_if_eligible,entry_score_0_100,rm_signal_bucket,hp_signal_bucket,rm_flags_active,hp_flags_active,primary_theme
entry_score_top10,2022Q2,RBLX,116.0128,2x_to_5x,not_variant_eligible,entry_score_below_70,,,6,1,0,rm_buy_review_flag,,
entry_score_top10,2026Q1,CODI,113.5802,2x_to_5x,not_variant_eligible,entry_score_below_70,,,25,0,0,,,
entry_score_top10,2023Q2,EXPI,113.2155,2x_to_5x,not_variant_eligible,entry_score_below_70,,,56,1,0,rm_buy_review_flag,,
entry_score_top10,2024Q4,CTEV,112.4318,2x_to_5x,not_variant_eligible,entry_score_below_70,,,16,1,0,rm_buy_review_flag,,
entry_score_top10,2023Q4,APEI,112.3809,2x_to_5x,not_variant_eligible,entry_score_below_70,,,51,1,0,rm_buy_review_flag,,
entry_score_top10,2023Q2,GRPN,112.2995,2x_to_5x,not_variant_eligible,entry_score_below_70,,,34,1,0,rm_buy_review_flag,,
entry_score_top10,2025Q2,WLDN,112.1667,2x_to_5x,not_variant_eligible,entry_score_below_70,,,5,1,1,rm_buy_review_flag,,
entry_score_top10,2025Q3,RDNW,112.1212,2x_to_5x,not_variant_eligible,entry_score_below_70,,,22,1,0,rm_buy_review_flag,,
entry_score_top10,2024Q2,IREN,111.3903,2x_to_5x,not_variant_eligible,entry_score_below_70,,,0,1,0,rm_buy_review_flag,,Data center expansion for bitcoin and AI compute
entry_score_top10,2025Q3,AEHR,110.209,2x_to_5x,not_variant_eligible,entry_score_below_70,,,21,1,0,rm_buy_review_flag,,
entry_score_top10,2024Q1,TNDM,109.7551,2x_to_5x,not_variant_eligible,entry_score_below_70,,,13,0,0,,,
entry_score_top10,2024Q3,GEO,108.3399,2x_to_5x,not_variant_eligible,entry_score_below_70,,,29,0,0,,,
entry_score_top10,2025Q2,HOOD,107.5306,2x_to_5x,not_variant_eligible,entry_score_below_70,,,8,1,1,rm_buy_review_flag,,
entry_score_top10,2024Q1,TPC,107.1698,2x_to_5x,eligible_but_ranked_below_top10,entry_score_ge_70,40,74.000000,74,1,0,rm_buy_review_flag,,
