variant,ticker,pick_count,quarters_selected,avg_return_90d_pct,total_return_90d_pct_points,winner_30_count,loser_minus30_count,best_quarter,best_return_90d_pct,worst_quarter,worst_return_90d_pct,primary_themes_seen,positive_contribution_rank,negative_contribution_rank
entry_score_top10,REAL,4,2024Q2;2025Q1;2025Q3;2025Q4,-0.5703499999999992,-2.281399999999997,1,0,2025Q3,53.4752,2025Q1,-29.5597,,54,30
entry_score_top10,STKL,2,2022Q3;2023Q1,-2.3668,-4.7336,0,0,2022Q3,7.4074,2023Q1,-12.141,,55,29
entry_score_top10,RNGR,1,2022Q2,-4.9844,-4.9844,0,0,2022Q2,-4.9844,2022Q2,-4.9844,,56,28
entry_score_top10,GTX,2,2022Q1;2022Q4,-2.6556999999999995,-5.311399999999999,0,0,2022Q4,14.521,2022Q1,-19.8324,,57,27
entry_score_top10,CCL,1,2023Q2,-5.7627,-5.7627,0,0,2023Q2,-5.7627,2023Q2,-5.7627,,58,26
entry_score_top10,ANGO,2,2025Q4;2026Q1,-3.2139,-6.4278,0,0,2025Q4,7.7315,2026Q1,-14.1593,,59,25
entry_score_top10,MPAA,1,2025Q3,-7.9456,-7.9456,0,0,2025Q3,-7.9456,2025Q3,-7.9456,,60,24
entry_score_top10,ALTG,1,2022Q3,-8.0303,-8.0303,0,0,2022Q3,-8.0303,2022Q3,-8.0303,,61,23
entry_score_top10,LFST,4,2024Q2;2024Q3;2024Q4;2025Q2,-2.6076000000000006,-10.430400000000002,1,0,2024Q3,33.3333,2025Q2,-29.8561,,62,22
entry_score_top10,CRK,1,2021Q4,-10.7027,-10.7027,0,0,2021Q4,-10.7027,2021Q4,-10.7027,,63,21
entry_score_top10,CORZ,1,2024Q4,-10.807,-10.807,0,0,2024Q4,-10.807,2024Q4,-10.807,Contracted HPC data center hosting,64,20
entry_score_top10,HLIT,1,2022Q1,-12.2449,-12.2449,0,0,2022Q1,-12.2449,2022Q1,-12.2449,,65,19
entry_score_top10,SMCI,3,2021Q4;2022Q2;2023Q3,-4.110833333333333,-12.3325,0,0,2022Q2,1.1905,2023Q3,-14.2233,,66,18
entry_score_top10,RLGT,1,2025Q2,-14.2446,-14.2446,0,0,2025Q2,-14.2446,2025Q2,-14.2446,,67,17
entry_score_top10,MTRX,2,2023Q3;2023Q4,-7.2250000000000005,-14.450000000000001,0,0,2023Q3,2.7263,2023Q4,-17.1763,,68,16
entry_score_top10,NEO,1,2025Q2,-18.8563,-18.8563,0,0,2025Q2,-18.8563,2025Q2,-18.8563,,69,15
entry_score_top10,RBBN,2,2024Q1;2025Q1,-9.73855,-19.4771,0,0,2024Q1,2.4845,2025Q1,-21.9616,,70,14
entry_score_top10,STGW,2,2022Q2;2024Q4,-11.2189,-22.4378,0,0,2022Q2,-9.1045,2024Q4,-13.3333,,71,13
entry_score_top10,ZETA,1,2022Q1,-24.0081,-24.0081,0,0,2022Q1,-24.0081,2022Q1,-24.0081,,72,12
entry_score_top10,PTON,1,2025Q1,-24.8268,-24.8268,0,0,2025Q1,-24.8268,2025Q1,-24.8268,,73,11
entry_score_top10,ORGO,1,2022Q1,-31.0811,-31.0811,0,1,2022Q1,-31.0811,2022Q1,-31.0811,,74,10
entry_score_top10,CRSR,1,2025Q3,-35.8529,-35.8529,0,1,2025Q3,-35.8529,2025Q3,-35.8529,,75,9
entry_score_top10,SABR,1,2025Q1,-37.6812,-37.6812,0,1,2025Q1,-37.6812,2025Q1,-37.6812,,76,8
entry_score_top10,IREN,1,2025Q4,-38.888,-38.888,0,1,2025Q4,-38.888,2025Q4,-38.888,AI cloud GPU infrastructure,77,7
entry_score_top10,RDNW,1,2022Q3,-40.1298,-40.1298,0,1,2022Q3,-40.1298,2022Q3,-40.1298,,78,6
entry_score_top10,SLQT,2,2024Q2;2025Q1,-21.1142,-42.2284,0,1,2024Q2,16.1049,2025Q1,-58.3333,,79,5
entry_score_top10,KRO,2,2024Q2;2025Q2,-22.7475,-45.495,0,0,2024Q2,-17.9549,2025Q2,-27.5401,,80,4
entry_score_top10,ULCC,1,2025Q1,-56.7118,-56.7118,0,1,2025Q1,-56.7118,2025Q1,-56.7118,,81,3
entry_score_top10,VSCO,2,2024Q4;2025Q4,-29.166999999999998,-58.333999999999996,0,1,2025Q4,-2.8075,2024Q4,-55.5265,,82,2
entry_score_top10,HIMS,3,2022Q3;2023Q1;2023Q2,-24.80826666666667,-74.4248,0,1,2023Q1,-16.6979,2022Q3,-31.0448,,83,1
