ticker,cik,doc_type,accession,document,status,text_len,table_count,html_path,text_path
HII,1501585,earnings_exhibit,0001501585-23-000030,hiiq32023earningspresent.htm,fetched,25385,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HII_000150158523000030_hiiq32023earningspresent.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HII_000150158523000030_hiiq32023earningspresent.htm.txt
HII,1501585,periodic_10q_10k,0001501585-23-000033,hii-20230930.htm,fetched,146153,45,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HII_000150158523000033_hii-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HII_000150158523000033_hii-20230930.htm.txt
HIMS,1773751,primary_8k,0001773751-23-000276,hims-20231106.htm,fetched,3495,13,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HIMS_000177375123000276_hims-20231106.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HIMS_000177375123000276_hims-20231106.htm.txt
HIMS,1773751,earnings_exhibit,0001773751-23-000276,hims-20230930x8xkearningrea.htm,fetched,24573,7,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HIMS_000177375123000276_hims-20230930x8xkearningrea.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HIMS_000177375123000276_hims-20230930x8xkearningrea.htm.txt
HIMS,1773751,periodic_10q_10k,0001773751-23-000278,hims-20230930.htm,fetched,345537,41,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HIMS_000177375123000278_hims-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HIMS_000177375123000278_hims-20230930.htm.txt
HLF,1180262,primary_8k,0001157523-23-001598,a53723862.htm,fetched,4324,5,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLF_000115752323001598_a53723862.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLF_000115752323001598_a53723862.htm.txt
HLF,1180262,earnings_exhibit,0001157523-23-001598,a53723862ex99_1.htm,fetched,27930,12,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLF_000115752323001598_a53723862ex99_1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLF_000115752323001598_a53723862ex99_1.htm.txt
HLF,1180262,periodic_10q_10k,0000950170-23-057452,hlf-20230930.htm,fetched,321800,48,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLF_000095017023057452_hlf-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLF_000095017023057452_hlf-20230930.htm.txt
HLIO,1024795,primary_8k,0000950170-23-058325,hlio-20231102.htm,fetched,2766,6,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLIO_000095017023058325_hlio-20231102.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLIO_000095017023058325_hlio-20231102.htm.txt
HLIO,1024795,earnings_exhibit,0000950170-23-058325,hlio-ex99_1.htm,fetched,42272,31,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLIO_000095017023058325_hlio-ex99_1.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLIO_000095017023058325_hlio-ex99_1.htm.txt
HLIO,1024795,periodic_10q_10k,0000950170-23-059853,hlio-20230930.htm,fetched,109950,43,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLIO_000095017023059853_hlio-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLIO_000095017023059853_hlio-20230930.htm.txt
HLIT,851310,primary_8k,0000851310-23-000092,hlit-20231030.htm,fetched,3734,10,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLIT_000085131023000092_hlit-20231030.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLIT_000085131023000092_hlit-20231030.htm.txt
HLIT,851310,earnings_exhibit,0000851310-23-000092,hlit-20230929pressreleasew.htm,fetched,36240,25,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLIT_000085131023000092_hlit-20230929pressreleasew.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLIT_000085131023000092_hlit-20230929pressreleasew.htm.txt
HLIT,851310,periodic_10q_10k,0000851310-23-000097,hlit-20230929.htm,fetched,194623,47,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLIT_000085131023000097_hlit-20230929.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLIT_000085131023000097_hlit-20230929.htm.txt
HLMN,1822492,primary_8k,0001822492-23-000160,hlmn-20231108.htm,fetched,3627,3,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLMN_000182249223000160_hlmn-20231108.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLMN_000182249223000160_hlmn-20231108.htm.txt
HLMN,1822492,earnings_exhibit,0001822492-23-000160,ex991hillmanq32023earnings.htm,fetched,23634,9,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLMN_000182249223000160_ex991hillmanq32023earnings.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLMN_000182249223000160_ex991hillmanq32023earnings.htm.txt
HLMN,1822492,earnings_exhibit,0001822492-23-000160,hillmanq32023earningscal.htm,fetched,23217,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLMN_000182249223000160_hillmanq32023earningscal.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLMN_000182249223000160_hillmanq32023earningscal.htm.txt
HLMN,1822492,periodic_10q_10k,0001822492-23-000162,hlm-20230930.htm,fetched,141770,96,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLMN_000182249223000162_hlm-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLMN_000182249223000162_hlm-20230930.htm.txt
HLNE,1433642,primary_8k,0001433642-23-000096,hlne-20231107.htm,fetched,3464,8,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLNE_000143364223000096_hlne-20231107.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLNE_000143364223000096_hlne-20231107.htm.txt
HLNE,1433642,earnings_exhibit,0001433642-23-000096,combinedexhibit991.htm,fetched,38425,0,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLNE_000143364223000096_combinedexhibit991.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLNE_000143364223000096_combinedexhibit991.htm.txt
HLNE,1433642,periodic_10q_10k,0001433642-23-000099,hlne-20230930.htm,fetched,161037,71,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLNE_000143364223000099_hlne-20230930.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLNE_000143364223000099_hlne-20230930.htm.txt
HLT,1585689,primary_8k,0001585689-23-000191,hlt-20231025.htm,fetched,3754,9,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_html/HLT_000158568923000191_hlt-20231025.htm.html,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/HLT_000158568923000191_hlt-20231025.htm.txt
