ticker,filed,tradable_date,form,items,acceptance_datetime_utc,primary_document,ex99_1_document,periodic_filing_form,periodic_filing_date,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,llm_confidence,semantic_char_count,semantic_element_count,table_count,edgartools_available,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,quality_flags,quality_ok,json_path,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
BE,2023-08-03,2023-08-04,8-K,"2.02,9.01",2023-08-03T20:07:47.000Z,be-20230803.htm,ex991_q22023financialresul.htm,10-Q,2023-08-03,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,27919,66,12,True,6,4,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2023-08-03_8-K_0001628280-23-027206.json,16.100000,-3.9130,-10.8696,-6.2112,-28.3230,-33.1677
BE,2023-11-08,2023-11-09,8-K,"2.02,9.01",2023-11-08T21:05:46.000Z,be-20231108.htm,ex991_q32023financialresul.htm,10-Q,2023-11-08,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,35153,93,12,True,6,3,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2023-11-08_8-K_0001628280-23-037826.json,11.540000,11.4385,24.0035,17.0711,20.3640,-2.0797
BE,2024-02-15,2024-02-16,8-K,"2.02,9.01",2024-02-15T21:02:34.000Z,be-20240215.htm,ex991_q42023financialresul.htm,10-K,2024-02-15,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,41653,109,12,True,6,3,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2024-02-15_8-K_0001628280-24-005031.json,9.000000,-3.3333,16.0000,8.6667,9.7778,35.8889
BE,2024-05-09,2024-05-10,8-K,"2.02,9.01",2024-05-09T20:03:57.000Z,be-20240509.htm,ex991_q12024financialresul.htm,10-Q,2024-05-09,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,33615,102,12,True,6,4,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2024-05-09_8-K_0001628280-24-022195.json,12.500000,3.3600,33.1200,21.0400,-1.9200,-15.6800
BE,2024-08-08,2024-08-09,8-K,"2.02,9.01",2024-08-08T20:04:24.000Z,be-20240808.htm,ex991_q22024financialresul.htm,10-Q,2024-08-08,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,32878,103,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2024-08-08_8-K_0001628280-24-036108.json,12.100000,-2.5620,-1.6529,-19.4215,-15.2893,-11.8182
BE,2024-11-07,2024-11-08,8-K,"2.02,9.01",2024-11-07T21:20:48.000Z,be-20241107.htm,ex991_q32024financialresul.htm,10-Q,2024-11-07,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,35194,107,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2024-11-07_8-K_0001628280-24-046303.json,11.050000,106.4253,148.4163,140.5430,126.7873,124.2534
BE,2025-02-27,2025-02-28,8-K,"2.02,9.01",2025-02-27T21:05:18.000Z,be-20250226.htm,ex991_q42024financialresul.htm,10-K,2025-02-27,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,41356,87,12,True,6,5,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2025-02-27_8-K_0001628280-25-008626.json,23.360001,-3.1678,8.7757,-15.8390,-19.0497,-20.5051
BE,2025-04-30,2025-05-01,8-K,"2.02,9.01",2025-04-30T20:14:46.000Z,be-20250430.htm,ex991_q12025financialresul.htm,10-Q,2025-04-30,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,35657,105,12,True,6,6,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2025-04-30_8-K_0001628280-25-021092.json,18.850000,0.3183,-3.3952,-3.0239,26.8965,99.5756
BE,2025-07-31,2025-08-01,8-K,"2.02,9.01",2025-07-31T20:07:20.000Z,be-20250731.htm,ex991_q22025financialresul.htm,10-Q,2025-07-31,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,36801,86,12,True,6,5,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2025-07-31_8-K_0001628280-25-036998.json,32.740002,14.9969,36.9273,56.8418,158.3079,290.5009
BE,2025-10-28,2025-10-29,8-K,"2.02,7.01,9.01",2025-10-28T20:06:37.000Z,be-20251028.htm,ex991_q32025financialresul.htm,10-Q,2025-10-28,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,35777,84,12,True,6,1,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2025-10-28_8-K_0001628280-25-046745.json,129.300003,7.6798,-18.8167,-15.5143,-31.6241,17.7958
BE,2026-02-05,2026-02-06,8-K,"2.02,7.01,9.01",2026-02-05T21:21:16.000Z,be-20260205.htm,ex991_q42025financialresul.htm,10-K,2026-02-09,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,in_session_llm_json,0.65,45583,97,12,True,6,3,6,6,,True,Growth/earnings_8k_sec_parser/BE/json/BE_2026-02-05_8-K_0001628280-26-005798.json,153.270004,-5.1869,9.9824,-1.2723,-11.3264,
