ticker,break_date,entry_date,r,filter,entry,stop,risk,exit_date,exit_price,reason,pnl,realized_R,close,sma5,sma10,sma20,sma200,ret5
ORCL,2007-06-20,2007-06-21,4,R4_sma5,19.56999969482422,19.959999084472656,0.3899993896484375,2007-06-28,19.959999084472656,STOP,-0.3899993896484375,-1.0,19.530000686645508,19.74000015258789,19.383999824523926,19.362999820709227,18.058849968910216,0.011917174024717259
ORCL,2008-04-30,2008-05-01,4,R4_sma5,21.010000228881836,21.579999923706055,0.5699996948242188,2008-05-01,21.579999923706055,STOP,-0.5699996948242188,-1.0,20.850000381469727,21.544000244140626,21.61700019836426,20.93350019454956,20.63410011291504,-0.04837971124256235
ORCL,2008-05-21,2008-05-22,4,R4_sma5,22.06999969482422,22.709999084472656,0.6399993896484375,2008-05-27,22.709999084472656,STOP,-0.6399993896484375,-1.0,22.010000228881836,22.030000305175783,21.721000289916994,21.61500015258789,20.747250108718873,0.010560125573244594
ORCL,2009-05-04,2009-05-05,4,R4_sma5,19.170000076293945,19.440000534057617,0.2700004577636719,2009-05-11,18.089998245239258,TARGET,1.0800018310546875,4.0,18.969999313354492,19.397999954223632,19.51100025177002,19.201000213623043,18.303150010108947,-0.04046540849193658
ORCL,2009-06-16,2009-06-17,4,R4_sma5,19.719999313354492,20.270000457763672,0.5500011444091797,2009-06-18,20.270000457763672,STOP,-0.5500011444091797,-1.0,19.690000534057617,20.488000106811523,20.596000099182127,19.910999965667724,17.90279999256134,-0.06193421873445282
ORCL,2009-06-22,2009-06-23,4,R4_sma5,20.209999084472656,20.75,0.5400009155273438,2009-06-24,20.86000061035156,GAP_STOP,-0.6500015258789027,-1.2037044886194992,19.969999313354492,20.102000045776368,20.425,20.195499992370607,17.883899989128114,-0.012363996463386928
ORCL,2009-08-06,2009-08-07,4,R4_sma5,21.43000030517578,21.940000534057617,0.5100002288818359,2009-08-12,21.940000534057617,STOP,-0.5100002288818359,-1.0,21.209999084472656,21.793999481201173,21.96699962615967,21.689499759674074,18.312949962615967,-0.04200543499610965
ORCL,2009-12-31,2010-01-04,4,R4_sma5,24.65999984741211,24.950000762939453,0.29000091552734375,2010-01-04,24.950000762939453,STOP,-0.29000091552734375,-1.0,24.530000686645508,24.878000259399414,24.522999954223632,23.6,21.030249977111815,-0.008087297181273434
ORCL,2010-01-21,2010-01-22,4,R4_sma5,24.940000534057617,25.540000915527344,0.6000003814697266,2010-02-19,24.31999969482422,TIME,0.6200008392333984,1.0333340750795523,24.829999923706055,25.15999984741211,24.890999794006348,24.830999851226807,21.460749950408935,0.0012097051438886286
ORCL,2011-07-11,2011-07-12,4,R4_sma5,33.31999969482422,33.65999984741211,0.3400001525878906,2011-07-14,31.959999084472656,TARGET,1.3600006103515625,4.0,33.13999938964844,33.487999725341794,32.974999809265135,32.34799995422363,31.514649991989135,0.0027231514270951163
ORCL,2012-09-12,2012-09-13,4,R4_sma5,32.31999969482422,32.5,0.18000030517578125,2012-09-13,32.5,STOP,-0.18000030517578125,-1.0,32.2599983215332,32.42399978637695,32.006999778747556,31.914499950408935,29.048149967193602,0.005924497303305243
ORCL,2013-11-19,2013-11-20,4,R4_sma5,34.84000015258789,34.9900016784668,0.15000152587890625,2013-11-21,34.9900016784668,STOP,-0.15000152587890625,-1.0,34.7599983215332,34.79799957275391,34.54799957275391,33.950999641418456,33.27064987182617,0.0017290362326973785
ORCL,2013-12-10,2013-12-11,4,R4_sma5,34.95000076293945,35.470001220703125,0.5200004577636719,2013-12-19,35.52000045776367,GAP_STOP,-0.5699996948242188,-1.0961522943183069,34.79999923706055,35.15999908447266,35.145999908447266,34.97249984741211,33.287599849700925,-0.007698901058260321
ORCL,2014-01-03,2014-01-06,4,R4_sma5,37.63999938964844,37.86000061035156,0.220001220703125,2014-01-07,37.86000061035156,STOP,-0.220001220703125,-1.0,37.619998931884766,37.9379997253418,37.45999946594238,35.92449951171875,33.333399810791015,-0.0018572485374040992
ORCL,2014-06-12,2014-06-13,4,R4_sma5,42.04999923706055,42.619998931884766,0.5699996948242188,2014-06-17,42.619998931884766,STOP,-0.5699996948242188,-1.0,42.0,42.51000061035156,42.215000534057616,42.02600040435791,37.03845007896423,-0.0023752607540488135
ORCL,2014-06-20,2014-06-23,4,R4_sma5,40.93000030517578,42.29999923706055,1.3699989318847656,2014-07-21,40.0099983215332,TIME,0.9200019836425781,0.671534818189159,40.81999969482422,42.12200012207031,42.26700019836426,42.13650035858154,37.34550006866455,-0.03132415078175044
ORCL,2014-11-25,2014-11-26,4,R4_sma5,41.18000030517578,41.63999938964844,0.45999908447265625,2014-11-26,41.63999938964844,STOP,-0.45999908447265625,-1.0,41.150001525878906,41.17199935913086,40.997999572753905,40.20950012207031,40.1410500907898,-0.002665942804871424
ORCL,2014-12-04,2014-12-05,4,R4_sma5,42.02000045776367,42.119998931884766,0.09999847412109375,2014-12-05,41.6200065612793,TARGET,0.399993896484375,4.0,41.88999938964844,42.124000549316406,41.74300003051758,41.15699996948242,40.260600109100345,0.00047767992056102493
ORCL,2015-04-01,2015-04-02,4,R4_sma5,42.9900016784668,43.130001068115234,0.1399993896484375,2015-04-06,42.43000411987305,TARGET,0.55999755859375,4.0,42.939998626708984,43.03199996948242,43.46199989318848,43.05949993133545,41.47269996643067,0.00023289824044092633
ORCL,2015-06-18,2015-06-19,4,R4_sma5,42.900001525878906,44.369998931884766,1.4699974060058594,2015-07-17,40.400001525878906,TIME,2.5,1.7006832731717318,42.7400016784668,44.07000045776367,43.85499992370605,43.84050025939941,42.28359998703003,-0.03477861660533976
ORCL,2016-08-24,2016-08-25,4,R4_sma5,41.119998931884766,41.470001220703125,0.3500022888183594,2016-08-26,41.470001220703125,STOP,-0.3500022888183594,-1.0,41.06999969482422,41.25,41.25399971008301,41.135999870300296,38.94275003433228,-0.003397218945854985
ORCL,2017-05-03,2017-05-04,4,R4_sma5,44.959999084472656,45.15999984741211,0.20000076293945312,2017-05-04,45.15999984741211,STOP,-0.20000076293945312,-1.0,44.88999938964844,44.95999984741211,44.80099983215332,44.515999984741214,40.904599838256836,0.004475291319877561
ORCL,2017-09-15,2017-09-18,4,R4_sma5,48.880001068115234,52.470001220703125,3.5900001525878906,2017-10-13,48.61000061035156,TIME,0.2700004577636719,0.07520903796314302,48.7400016784668,51.91800079345703,51.54600028991699,50.42800025939941,44.873899936676025,-0.055060101817949514
ORCL,2017-12-15,2017-12-18,4,R4_sma5,48.43000030517578,49.95000076293945,1.5200004577636719,2018-01-16,49.95000076293945,STOP,-1.5200004577636719,-1.0,48.29999923706055,49.87999954223633,49.23299980163574,49.07950000762939,47.744800090789795,-0.026209662843816872
ORCL,2019-09-12,2019-09-13,4,R4_sma5,54.0,55.15999984741211,1.1599998474121094,2019-09-30,55.15999984741211,STOP,-1.1599998474121094,-1.0,53.88999938964844,54.67000045776367,53.627000427246095,53.18900032043457,52.6265001487732,0.0009286633900231767
ORCL,2020-07-24,2020-07-27,4,R4_sma5,55.65999984741211,56.040000915527344,0.3800010681152344,2020-08-03,56.040000915527344,STOP,-0.3800010681152344,-1.0,55.650001525878906,55.74599990844727,56.02799987792969,56.020499801635744,53.459150066375734,0.013661201806095757
ORCL,2020-10-15,2020-10-16,4,R4_sma5,60.709999084472656,60.7400016784668,0.030002593994140625,2020-10-16,60.7400016784668,STOP,-0.030002593994140625,-1.0,60.52000045776367,61.012000274658206,60.444000244140625,60.106000137329104,54.18605007171631,-0.006076513969347608
ORCL,2021-07-15,2021-07-16,4,R4_sma5,86.75,88.7699966430664,2.0199966430664062,2021-07-20,88.7699966430664,STOP,-2.0199966430664062,-1.0,86.23999786376953,87.28600006103515,85.25499954223633,81.58749923706054,68.31295015335083,0.007594363286485439
ORCL,2023-12-05,2023-12-06,4,R4_sma5,114.94000244140624,115.68000030517578,0.7399978637695455,2023-12-06,111.98001098632805,TARGET,2.959991455078182,4.0,114.52999877929688,115.97799987792969,116.11699981689453,114.94999961853027,106.5303998184204,-0.014710935270978887
ORCL,2024-05-24,2024-05-28,4,R4_sma5,123.23999786376952,123.91999816894533,0.6800003051758097,2024-05-28,123.91999816894533,STOP,-0.6800003051758097,-1.0,122.91000366210938,124.14999847412109,122.52799987792969,119.39399948120118,113.99179962158203,-0.004777298282515163
ORCL,2024-08-22,2024-08-23,4,R4_sma5,138.72999572753906,141.0800018310547,2.350006103515625,2024-08-29,141.0800018310547,STOP,-2.350006103515625,-1.0,138.0800018310547,138.56799926757813,136.4269989013672,134.92149925231934,121.38214958190918,0.008398519073877342
ORCL,2025-01-27,2025-01-28,4,R4_sma5,162.99000549316406,181.5,18.509994506835938,2025-02-18,181.5,STOP,-18.509994506835938,-1.0,158.27999877929688,177.0280029296875,167.425,166.30750045776367,151.20864978790283,-0.017077563316441835
ORCL,2025-08-13,2025-08-14,4,R4_sma5,244.9499969482422,257.6700134277344,12.720016479492188,2025-09-10,319.19000244140625,GAP_STOP,-74.24000549316406,-5.83647085778995,244.17999267578125,250.03199768066406,251.297998046875,248.34849853515624,178.66025001525878,-0.04777132297269282
P,2017-10-23,2017-10-24,4,R4_sma5,15.880000114440918,16.450000762939453,0.5700006484985352,2017-10-26,16.450000762939453,STOP,-0.5700006484985352,-1.0,15.829999923706056,16.24199981689453,16.13400001525879,15.971000003814698,12.464149999618531,-0.027043670662446506
P,2018-07-23,2018-07-24,4,R4_sma5,23.979999542236328,23.989999771118164,0.010000228881835938,2018-07-24,23.989999771118164,STOP,-0.010000228881835938,-1.0,23.799999237060547,24.13000030517578,24.113000297546385,23.927499961853027,19.840399961471558,-0.012857792013406866
P,2020-07-24,2020-07-27,4,R4_sma5,17.489999771118164,17.700000762939453,0.21000099182128906,2020-07-27,17.700000762939453,STOP,-0.21000099182128906,-1.0,17.229999542236328,17.768000030517577,17.461000061035158,17.367000007629393,16.396899976730346,-0.002893584630920931
P,2022-02-17,2022-02-18,4,R4_sma5,26.170000076293945,27.280000686645508,1.1100006103515625,2022-03-03,30.489999771118164,GAP_STOP,-4.319999694824219,-3.891889476939996,26.15999984741211,26.74000015258789,26.88300018310547,26.254500007629396,24.54465008735657,-0.0514865873902125
P,2024-01-05,2024-01-08,4,R4_sma5,36.060001373291016,37.29999923706055,1.2399978637695312,2024-01-08,37.29999923706055,STOP,-1.2399978637695312,-1.0,35.88999938964844,35.9379997253418,35.878000259399414,35.43150005340576,33.20500005722046,-0.004162084408113276
P,2024-08-22,2024-08-23,4,R4_sma5,61.63999938964844,63.08000183105469,1.44000244140625,2024-08-29,55.87998962402344,TARGET,5.760009765625,4.0,60.95000076293945,61.8359992980957,60.54799957275391,58.20900001525879,50.0756999874115,-0.025423730881224293
P,2025-01-27,2025-01-28,4,R4_sma5,66.12000274658203,71.4000015258789,5.279998779296875,2025-02-25,61.29999923706055,TIME,4.820003509521484,0.9128796636129816,65.29000091552734,70.44000091552735,67.44800071716308,65.53150119781495,57.579850101470946,-0.015233817341486433
P,2026-01-29,2026-01-30,4,R4_sma5,72.9000015258789,74.3499984741211,1.4499969482421875,2026-02-03,67.10001373291016,TARGET,5.79998779296875,4.0,72.61000061035156,72.71600036621093,72.20599975585938,70.82300033569337,68.31415004730225,0.016662034050900942
PEP,2000-06-20,2000-06-21,4,R4_sma5,41.5,43.125,1.625,2000-06-26,43.125,STOP,-1.625,-1.0,41.125,43.0875,42.521875,41.4453125,35.3575,-0.039416058394160625
PEP,2000-09-20,2000-09-21,4,R4_sma5,42.1875,43.6875,1.5,2000-09-21,43.6875,STOP,-1.5,-1.0,41.625,43.478125,43.4453125,43.071875,38.51296875,-0.06853146853146852
PEP,2001-09-21,2001-09-24,4,R4_sma5,47.400001525878906,48.369998931884766,0.9699974060058594,2001-09-27,48.369998931884766,STOP,-0.9699974060058594,-1.0,47.0,48.55,47.925,47.392499923706055,45.36095006942749,0.0021321635579460985
PEP,2002-03-27,2002-03-28,4,R4_sma5,51.13999938964844,51.88999938964844,0.75,2002-04-10,51.88999938964844,STOP,-0.75,-1.0,51.04999923706055,51.11800003051758,50.90799980163574,50.50499992370605,47.847649974823,0.009891196984102457
PEP,2002-04-23,2002-04-24,4,R4_sma5,52.45000076293945,53.040000915527344,0.5900001525878906,2002-04-24,53.040000915527344,STOP,-0.5900001525878906,-1.0,52.20000076293945,52.374000549316406,52.11000061035156,51.54500045776367,48.48965002059936,0.004618970028783531
PEP,2004-06-29,2004-06-30,4,R4_sma5,53.849998474121094,54.20000076293945,0.3500022888183594,2004-07-01,54.20000076293945,STOP,-0.3500022888183594,-1.0,53.70000076293945,54.49800033569336,54.81000022888183,54.65699996948242,50.168249969482424,-0.033303303321863154
PEP,2005-02-17,2005-02-18,4,R4_sma5,53.75,54.63999938964844,0.8899993896484375,2005-03-18,52.619998931884766,TIME,1.1300010681152344,1.269664992199153,53.72999954223633,54.56199951171875,54.84700012207031,54.24400024414062,51.818700008392334,-0.02592458863545244
PEP,2006-07-20,2006-07-21,4,R4_sma5,62.540000915527344,63.09000015258789,0.5499992370605469,2006-07-24,63.09000015258789,STOP,-0.5499992370605469,-1.0,62.47999954223633,62.487998962402344,61.860999298095706,60.804499816894534,58.98235010147095,0.006605443038954828
PEP,2008-09-17,2008-09-18,4,R4_sma5,71.9800033569336,73.5,1.5199966430664062,2008-09-18,73.5,STOP,-1.5199966430664062,-1.0,71.68000030517578,72.55600128173828,71.32600021362305,70.28350028991699,70.0711997795105,-0.002088285146250035
