ticker,variant,r_multiple,data_start,data_end,trades,total_R,avg_R,pf_R,win_rate,target_rate,stop_rate,gap_stop_rate,time_exit_rate,avg_hold_days,target_3R_count,target_4R_count,avg_effective_r,pnl_1share,avg_trade_1share
META,r3-core,3.0,2012-05-18,2026-05-08,39,-16.22123843564535,-0.4159291906575731,0.4992002456717702,0.1794871794871795,0.1282051282051282,0.7435897435897436,0.07692307692307693,0.05128205128205128,3.4615384615384617,39,0,3.0,23.69969558715829,0.607684502234828
META,r3-v5-broad,3.0,2012-05-18,2026-05-08,13,-1.0,-0.07692307692307693,0.9,0.23076923076923078,0.23076923076923078,0.7692307692307693,0.0,0.0,1.6923076923076923,13,0,3.0,19.479942321777344,1.4984571016751802
META,r3-v5-priority,3.0,2012-05-18,2026-05-08,8,4.0,0.5,1.8,0.375,0.375,0.625,0.0,0.0,1.625,8,0,3.0,30.879905700683594,3.859988212585449
META,adaptive-v1,3.0,2012-05-18,2026-05-08,24,-0.9564472843450478,-0.03985197018104366,0.9495450138943009,0.25,0.25,0.7083333333333334,0.041666666666666664,0.0,2.2916666666666665,24,0,3.0,10.249980926513743,0.42708253860473927
META,adaptive-v2,3.0,2012-05-18,2026-05-08,5,-1.0,-0.2,0.75,0.2,0.2,0.8,0.0,0.0,1.0,5,0,3.0,-2.4100494384765625,-0.4820098876953125
META,adaptive-v2-extreme-research,3.0,2012-05-18,2026-05-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
MMM,legacy,3.0,1999-01-04,2026-05-08,100,-9.514677612140844,-0.09514677612140844,0.8788575604788412,0.27,0.21,0.62,0.09,0.08,7.38,100,0,3.0,-20.245323181152315,-0.20245323181152317
MMM,r3-core,3.0,1999-01-04,2026-05-08,60,-5.166566895012215,-0.08610944825020359,0.8890642414513937,0.25,0.21666666666666667,0.7,0.05,0.03333333333333333,5.516666666666667,60,0,3.0,-20.116859436035178,-0.3352809906005863
MMM,r3-v5-broad,3.0,1999-01-04,2026-05-08,17,-4.689792006197095,-0.27587011801159383,0.6753693964649904,0.23529411764705882,0.17647058823529413,0.6470588235294118,0.11764705882352941,0.058823529411764705,8.941176470588236,17,0,3.0,-7.49165344238282,-0.44068549661075407
MMM,r3-v5-priority,3.0,1999-01-04,2026-05-08,8,-6.7106268246765906,-0.8388283530845738,0.10134168115774199,0.125,0.0,0.75,0.125,0.125,9.875,8,0,3.0,-6.0953292846679545,-0.7619161605834943
