ticker,variant,break_date,entry_date,passed_variant,reject_reasons,vol_profile,vol_regime,broken_support,support_distance_pct,fvg_age_bars,support_ratcheted_count,stop_source,entry,stop,risk,gap_pct,risk_pct,risk_atr,close_vs_sma10,ret5,atr_pct,break_range_pct,bearish_fvg_count_since_support,bearish_fvg_sequence_max_since_support,last_bearish_fvg_age_bars,bearish_fvg_gap_sum_since_support,bearish_fvg_gap_max_since_support,bearish_confirmation_source,has_break_day_bearish_fvg,has_bearish_fvg_sequence,has_bearish_fvg_since_support,has_range_displacement
COST,adaptive-v2,2024-03-15,2024-03-18,False,CLOSE_VS_SMA10;GAP;FVG_AGE,MID_VOL,NORMAL_RELATIVE_VOL,726.5800170898438,-0.001309223985555386,2,0,BREAK_HIGH,726.0999755859375,732.52001953125,6.4200439453125,0.000647672643030933,0.008841818153390994,0.4000027162951907,-0.025510796046132145,9.648729871325479e-05,0.022118711690433526,0.012816516358949263,0,0,-1,0.0,0.0,NONE,False,False,False,False
COST,adaptive-v2,2024-03-22,2024-03-25,False,GAP,MID_VOL,NORMAL_RELATIVE_VOL,741.0999755859375,-0.008573745097480573,1,0,BREAK_HIGH,731.0,744.7899780273438,13.78997802734375,-0.005171458704541247,0.018864539025094048,0.870736355525605,0.003204288844426488,0.012637270852157156,0.02155300134357799,0.01416708399220099,0,0,-1,0.0,0.0,NONE,False,False,False,False
COST,adaptive-v2,2024-04-15,2024-04-16,False,TREND;RISK_PCT;RISK_ATR;GAP;SUPPORT_DISTANCE,LOW_VOL,NORMAL_RELATIVE_VOL,726.5399780273438,-0.011499621865520084,1,1,BREAK_HIGH,718.2999877929688,741.0,22.70001220703125,2.7786511220822037e-05,0.031602412074067776,2.0235598350321866,0.001714004050811854,0.00908954884094415,0.015617670230316068,0.03209053134267481,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2024-05-13,2024-05-14,False,TREND;RET5;RISK_ATR;GAP;CLOSE_VS_SMA10,LOW_VOL,NORMAL_RELATIVE_VOL,778.1599731445312,-0.003883053132513253,1,5,BREAK_HIGH,774.9299926757812,789.47998046875,14.54998779296875,-0.0002838569713618631,0.018775873860203317,1.103047493517061,0.02614376127642005,0.024720750750564235,0.01701698640161441,0.02051211104705191,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2024-06-20,2024-06-21,True,,LOW_VOL,NORMAL_RELATIVE_VOL,867.7000122070312,-0.006098986307145885,1,6,BREAK_HIGH,866.6400146484375,873.8499755859375,7.2099609375,0.004869918133599788,0.008319441539316418,0.5332244825314776,0.010307610562527403,0.017256230670718686,0.015678118339280584,0.015409742115071552,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2024-07-11,2024-07-12,False,CLOSE_VS_SMA10;RISK_PCT;RISK_ATR;SUPPORT_DISTANCE;FVG_AGE,MID_VOL,NORMAL_RELATIVE_VOL,877.6599731445312,-0.036700109029711984,3,0,BREAK_HIGH,849.8900146484375,890.760009765625,40.8699951171875,0.0038979762202326646,0.04808856959461236,2.6201120925270622,-0.021572767982899248,-0.01862836666744261,0.018425172660760325,0.05225668721694937,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2024-08-29,2024-08-30,False,FVG_AGE,LOW_VOL,NORMAL_RELATIVE_VOL,887.0700073242188,-0.0004962638744268596,2,4,BREAK_HIGH,890.5,900.4600219726562,9.96002197265625,0.0043648366239297355,0.011184752355593767,0.6794675349549895,0.00372222816522228,0.01033548401186457,0.016532904656068964,0.017245118006716808,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2024-09-16,2024-09-17,False,GAP,MID_VOL,NORMAL_RELATIVE_VOL,909.3599853515624,-0.001641193389349149,1,0,BREAK_HIGH,908.4299926757812,922.6300048828124,14.200012207031136,0.0006168257147008718,0.015631377565160514,0.7037917748759613,0.013097378833075053,0.012693956437636711,0.02222393037138794,0.019033594446134627,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
COST,adaptive-v2,2024-10-11,2024-10-14,False,TREND;RISK_PCT;RISK_ATR,LOW_VOL,NORMAL_RELATIVE_VOL,891.8400268554688,-0.003160745380913791,1,1,BREAK_HIGH,892.4500122070312,894.5,2.04998779296875,0.003846869956531255,0.0022970337441075546,0.12826742762183235,0.0037620330302998214,0.006703631533455878,0.017977051360266148,0.01012339257777154,0,0,-1,0.0,0.0,NONE,False,False,False,False
COST,adaptive-v2,2024-10-24,2024-10-25,False,GAP,LOW_VOL,NORMAL_RELATIVE_VOL,894.989990234375,-0.0017573004345668778,1,0,BREAK_HIGH,895.6500244140625,903.5,7.8499755859375,0.0024960730077273263,0.008764556882665172,0.601827211099903,0.0028871197655718807,0.009183437161378816,0.014599595522552964,0.017058036003105112,0,0,-1,0.0,0.0,RANGE_DISPLACEMENT,False,False,False,True
