ticker,variant,fvg_form_date,fvg_age_bars,fvg_age_calendar_days,fvg_low,fvg_gap_size,fvg_gap_pct,break_date,entry_date,broken_support,break_high,break_low,break_range_pct,stop_source,support_distance_pct,support_ratcheted_count,atr14,risk_atr,volume_zscore_20,risk_pct,close_vs_sma10,sma20_sma200_spread,prior_close,prior_sma20,entry,stop,r_multiple,target,exit_date,exit_price,reason,pnl,realized_R,sma5,sma10,sma20,sma200,ret5
NFLX,r3-v5-broad,2025-06-05,2,4,123.72899627685548,0.771995544433608,0.0062785814539638,2025-06-09,2025-06-10,123.72899627685548,123.88800048828124,122.15699768066406,0.0141368670246232,BREAK_HIGH,-0.0104780649453727,1,2.1296441214425195,0.5334232022505998,-0.6275540884173633,0.0092544447103205,0.0032248294332536,0.3164770340292377,122.4459991455078,119.629150390625,122.7519989013672,123.88800048828124,3,119.3439941406251,2025-06-10,119.3439941406251,TARGET_3R,3.4080047607421022,3.0,123.48100128173829,122.052400970459,119.629150390625,90.8706702041626,0.0044955332261193
NKE,r3-v5-broad,2003-04-29,1,1,6.711249828338623,0.052499771118164,0.0078843282398376,2003-04-30,2003-05-01,6.711249828338623,6.784999847412109,6.639999866485596,0.0216700891811106,BREAK_HIGH,-0.0029889753607465,0,0.1877678803035191,0.366143051311209,1.3654246383221238,0.0102363529079913,0.009124127865148,0.1433723694826919,6.691249847412109,6.586124968528748,6.716249942779541,6.784999847412109,3,6.510000228881836,2003-05-07,6.784999847412109,STOP,-0.0687499046325683,-1.0,6.676250076293945,6.630750036239624,6.586124968528748,5.7602624869346615,-0.0040930459665697
NKE,r3-v5-broad,2003-09-02,3,3,7.06374979019165,0.0324997901916503,0.0046221923828125,2003-09-05,2003-09-08,7.06374979019165,7.122499942779541,7.014999866485596,0.0152780351103944,BREAK_HIGH,-0.0039082857066569,8,0.1086607319968087,0.7822516615245058,-0.12284918076541,0.0120781583373123,0.0016905635949647,0.1003034194728734,7.036250114440918,6.905937504768372,7.037499904632568,7.122499942779541,3,6.78249979019165,2003-09-08,7.122499942779541,STOP,-0.0850000381469726,-1.0,7.119750022888184,7.024374961853027,6.905937504768372,6.276393749713898,0.0030292584974729
NKE,r3-v5-broad,2003-10-09,1,1,7.948750019073486,0.0037498474121093,0.0004719757496651,2003-10-10,2003-10-13,7.948750019073486,7.989999771118164,7.864999771118164,0.0158077778459189,BREAK_HIGH,-0.0052165956340589,4,0.1009820869990757,0.5817831409175583,-0.4882422742132924,0.0074073664358469,0.0094304815016125,0.1691225136279761,7.90749979019165,7.624812436103821,7.931250095367432,7.989999771118164,3,7.755001068115234,2003-10-13,7.989999771118164,STOP,-0.0587496757507324,-1.0,7.938249969482422,7.833624935150146,7.624812436103821,6.521824998855591,0.0025356553293378
NKE,r3-v5-broad,2003-11-26,4,7,8.3462495803833,0.2487497329711914,0.0307193254286617,2003-12-03,2003-12-04,8.3462495803833,8.414999961853027,8.239999771118164,0.0212121443314985,BREAK_HIGH,-0.0116666158040364,3,0.1455358437129429,0.9190173254970628,0.4706531814237291,0.0161509387897995,0.0082647327102845,0.146548569445632,8.25,7.979562401771545,8.28125,8.414999961853027,3,7.880000114440918,2003-12-22,8.414999961853027,STOP,-0.1337499618530273,-1.0,8.391249847412109,8.182374858856202,7.979562401771545,6.959637484550476,-0.017418463612319
NKE,r3-v5-broad,2004-03-10,1,1,9.574999809265137,0.237500190734865,0.0254350950937171,2004-03-11,2004-03-12,9.574999809265137,9.547499656677246,9.324999809265137,0.023835013015841,SUPPORT,-0.0257096700736387,1,0.1648214885166707,1.4030319186308478,-0.1389396591042588,0.0247491434665029,0.0004018692823807,0.191500198933006,9.335000038146973,9.22381262779236,9.34375,9.574999809265137,3,8.65000057220459,2004-03-18,9.574999809265137,STOP,-0.2312498092651367,-1.0,9.432750129699707,9.331250095367432,9.22381262779236,7.741343758106232,-0.0005353441498106
NKE,r3-v5-broad,2004-11-15,1,1,10.7524995803833,0.0899991989135724,0.0084407217532185,2004-11-16,2004-11-17,10.7524995803833,10.8125,10.671250343322754,0.0132194338914507,BREAK_HIGH,-0.0063171884057841,0,0.161339487348284,0.7127813098222737,-0.7240620286921491,0.0107501536487636,0.0037694453069472,0.1093716392297639,10.6850004196167,10.372500038146972,10.697500228881836,10.8125,3,10.352500915527344,2004-11-17,10.8125,STOP,-0.114999771118164,-1.0,10.69000015258789,10.644875144958496,10.372500038146972,9.34988751411438,0.0079000803870667
NKE,r3-v5-broad,2010-04-23,2,4,19.325000762939453,0.0400009155273437,0.0020741983844356,2010-04-27,2010-04-28,19.325000762939453,19.622499465942383,19.15250015258789,0.0244982708594204,BREAK_HIGH,-0.0072974355430972,1,0.3049998964582165,1.2704884824244824,0.7902686314352261,0.0201455078396143,0.001618428226035,0.1856561832363508,19.184999465942383,18.866250038146973,19.23500061035156,19.622499465942383,3,18.072504043579087,2010-05-04,19.622499465942383,STOP,-0.3874988555908238,-1.0,19.380500030517577,19.154000091552735,18.866250038146973,15.912074937820435,0.0049763914402909
NKE,r3-v5-broad,2010-12-01,4,6,21.850000381469727,0.5,0.0234192033286315,2010-12-07,2010-12-08,21.850000381469727,22.112499237060547,21.780000686645508,0.0152539759653515,BREAK_HIGH,-0.0024085225208451,0,0.3939283915928429,0.634633109304788,-0.3481840846539861,0.0114351061737812,0.0056980917942454,0.1279056453662009,21.79750061035156,21.22787504196167,21.862499237060547,22.112499237060547,3,21.112499237060547,2010-12-09,22.112499237060547,STOP,-0.25,-1.0,21.89600028991699,21.67400016784668,21.22787504196167,18.82061245918274,0.0123070384510688
NKE,r3-v5-broad,2011-03-04,1,3,22.334999084472656,0.0274982452392578,0.0012326905392689,2011-03-07,2011-03-08,22.334999084472656,22.780000686645508,22.0674991607666,0.0320513513518151,BREAK_HIGH,-0.0047233263337154,0,0.434285708836147,1.1340467695693808,2.3921531122943382,0.0220976016487365,0.008597793396528,0.1033617260842978,22.229999542236328,21.837624931335448,22.287500381469727,22.780000686645508,3,20.809999465942383,2011-03-18,20.809999465942383,TARGET_3R,1.4775009155273438,3.0,22.23349952697754,22.040499877929687,21.837624931335448,19.79189998626709,-0.0012355454550129
NKE,r3-v5-broad,2012-01-31,2,2,25.864999771118164,0.2075004577636718,0.0080873219649925,2012-02-02,2012-02-03,25.864999771118164,26.04750061035156,25.642499923706055,0.0157557163138521,BREAK_HIGH,-0.0062244640298384,2,0.392143249511718,0.439891826689227,-0.0633009039171342,0.0066666902551327,0.0010709750518501,0.1260535323167456,25.704999923706055,25.216125011444092,25.875,26.04750061035156,3,25.357498168945323,2012-02-07,26.04750061035156,STOP,-0.1725006103515589,-1.0,25.80299987792969,25.677499961853027,25.216125011444092,22.393362560272216,0.0050830559878216
NKE,r3-v5-broad,2012-02-15,1,1,26.57749938964844,0.0949993133544957,0.0035872486767038,2012-02-16,2012-02-17,26.57749938964844,26.857500076293945,26.387500762939453,0.0177090918289877,BREAK_HIGH,-0.0014129040251524,2,0.4087499891008642,0.4220198530916555,-0.6080045506205433,0.0064643287916015,0.0082629189763235,0.1454614954612617,26.540000915527344,26.000000095367433,26.684999465942383,26.857500076293945,3,26.167497634887695,2012-02-17,26.857500076293945,STOP,-0.1725006103515625,-1.0,26.501000213623048,26.322500228881836,26.000000095367433,22.698275060653685,0.003782162611567
NKE,r3-v5-broad,2013-05-06,3,3,31.88999938964844,0.1049995422363316,0.0033034306352177,2013-05-09,2013-05-10,31.88999938964844,32.26499938964844,31.825000762939453,0.0138060437754154,BREAK_HIGH,-0.0006275039186827,3,0.4403573444911404,0.7607437202160622,-1.089069990037758,0.0104916718218243,0.0040009015246116,0.1970042461286743,31.8700008392334,31.106250095367432,31.93000030517578,32.26499938964844,3,30.925003051757812,2013-05-10,32.26499938964844,STOP,-0.3349990844726562,-1.0,32.00600051879883,31.74300022125244,31.106250095367432,25.98675000190735,0.0066330067224702
NKE,r3-v5-broad,2013-11-15,2,4,39.125,0.1800003051757812,0.0046219105555598,2013-11-19,2013-11-20,39.125,39.314998626708984,38.775001525878906,0.0138798899311991,BREAK_HIGH,-0.0056548317081607,3,0.5728569030761719,0.5498731446151387,0.8685104451814701,0.0080768878643329,0.0030810081749428,0.1944963984768567,38.904998779296875,38.3855001449585,39.0,39.314998626708984,3,38.05500411987305,2013-11-22,39.314998626708984,STOP,-0.3149986267089844,-1.0,39.20999984741211,38.78550033569336,38.3855001449585,32.13530002593994,0.0122283696946208
NKE,r3-v5-broad,2013-11-26,2,3,39.58000183105469,0.0900001525878906,0.0022790617564588,2013-11-29,2013-12-02,39.58000183105469,39.880001068115234,39.540000915527344,0.0085923718779397,BREAK_HIGH,-0.000252770692636,1,0.4517854963030134,0.3209497846881295,-1.3487303126055965,0.0036491872539671,0.0048120274619459,0.1958197649169613,39.56999969482422,38.93349990844727,39.73500061035156,39.880001068115234,3,39.29999923706055,2013-12-02,39.880001068115234,STOP,-0.1450004577636718,-1.0,39.60699996948242,39.38049964904785,38.93349990844727,32.558000001907345,0.0134460635292452
NKE,r3-v5-broad,2014-10-03,2,4,44.584999084472656,0.0849990844726562,0.0019100917859023,2014-10-07,2014-10-08,44.584999084472656,44.595001220703125,44.01499938964844,0.0131713826062105,BREAK_HIGH,-0.0124900474387731,0,1.0664288657052177,0.5063637462309754,-0.7020136319034844,0.0122574262123862,0.0088317152582953,0.0986961815159691,44.03499984741211,42.20124988555908,44.05500030517578,44.595001220703125,3,42.43499755859375,2014-10-14,42.43499755859375,TARGET_3R,1.6200027465820312,3.0,44.45800018310547,43.64949989318848,42.20124988555908,38.410299949646,-0.012668131077108
NKE,r3-v5-broad,2014-11-06,1,1,47.27000045776367,0.2600021362304687,0.0055307837803383,2014-11-07,2014-11-10,47.27000045776367,47.375,46.77000045776367,0.0129025282600001,BREAK_HIGH,-0.0081040962478477,5,0.6246419634137835,0.568324837313507,-0.7109409022570037,0.0075499689234416,0.005716003636896,0.1557711043764335,46.88999938964844,45.3254997253418,47.02000045776367,47.375,3,45.95500183105469,2014-11-10,47.375,STOP,-0.3549995422363281,-1.0,47.045999145507814,46.6234992980957,45.3254997253418,39.21667495727539,0.008712461524776
