variant,quarter,selected_exception_count,available_exception_candidate_count,warning_codes,selected_exception_tickers,single_rm_exception_count,rm2plus_exception_count,no_theme_no_llm_exception_count
top15_conservative_10_core_3_exception,2023Q4,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,NPKI;MTRX;AAOI,3,0,2
top15_rm1_priority_max2_rm2plus,2023Q4,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,NPKI;MTRX;AAOI;ANF;POWL,5,0,2
high_conviction_top15_v3_exception_sleeve,2024Q1,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,HRTG;AIOT;VST;MU;CIFR,4,0,2
top15_conservative_10_core_3_exception,2024Q1,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,HRTG;AIOT;VST,3,0,2
top15_rm1_priority_max2_rm2plus,2024Q1,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,HRTG;AIOT;VST;MU;CIFR,4,0,2
high_conviction_top15_v3_exception_sleeve,2024Q2,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,SLQT;CIFR;REAL;NTRA;VST,3,0,2
top15_conservative_10_core_3_exception,2024Q2,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,SLQT;CIFR;REAL,3,0,2
top15_rm1_priority_max2_rm2plus,2024Q2,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,SLQT;CIFR;REAL;NTRA;VST,3,0,2
high_conviction_top15_v3_exception_sleeve,2024Q3,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,AAOI;COMP;PBI;CRDO;TRUP,4,0,2
top15_conservative_10_core_3_exception,2024Q3,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;COMP;PBI,3,0,2
top15_rm1_priority_max2_rm2plus,2024Q3,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,AAOI;COMP;PBI;CRDO;TRUP,4,0,2
high_conviction_top15_v3_exception_sleeve,2024Q4,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,COMP;XMTR;CDE;MU;VSCO,3,0,2
top15_conservative_10_core_3_exception,2024Q4,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,COMP;XMTR;CDE,3,0,2
top15_rm1_priority_max2_rm2plus,2024Q4,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,COMP;XMTR;CDE;MU;VSCO,3,0,2
high_conviction_top15_v3_exception_sleeve,2025Q1,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,ULCC;SLQT;AAOI;IRTC;ONC,3,0,2
top15_conservative_10_core_3_exception,2025Q1,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,ULCC;SLQT;AAOI,3,0,2
top15_rm1_priority_max2_rm2plus,2025Q1,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,ULCC;SLQT;AAOI;IRTC;ONC,3,0,2
high_conviction_top15_v3_exception_sleeve,2025Q2,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;CRDO;LMB;EAT;ATRO,4,0,0
top15_conservative_10_core_3_exception,2025Q2,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;CRDO;LMB,3,0,0
top15_rm1_priority_max2_rm2plus,2025Q2,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;CRDO;LMB;EAT;ATRO,4,0,0
high_conviction_top15_v3_exception_sleeve,2025Q3,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;LITE;PGY;CRDO;CIFR,5,0,0
top15_conservative_10_core_3_exception,2025Q3,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;LITE;PGY,3,0,0
top15_rm1_priority_max2_rm2plus,2025Q3,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,AAOI;LITE;PGY;CRDO;CIFR,5,0,0
high_conviction_top15_v3_exception_sleeve,2025Q4,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,IREN;MU;CIFR;VSCO;WDC,5,0,0
top15_conservative_10_core_3_exception,2025Q4,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,IREN;MU;CIFR,3,0,0
top15_rm1_priority_max2_rm2plus,2025Q4,5,5,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10,IREN;MU;CIFR;VSCO;WDC,5,0,0
high_conviction_top15_v3_exception_sleeve,2026Q1,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;EXCEPTION_SHORTFALL_SELECTED_3_OF_5;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,NEOG;PTEN;TEL,2,0,2
top15_conservative_10_core_3_exception,2026Q1,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,NEOG;PTEN;TEL,2,0,2
top15_rm1_priority_max2_rm2plus,2026Q1,3,3,SOFT_BALANCE_NO_CORE_LANE;SOFT_BALANCE_NO_MOMENTUM_LANE;SOFT_BALANCE_NO_OPPORTUNISTIC_LANE;SOFT_BALANCE_ANNOTATION_ONLY_RANKING_DOMINATES;SHORTFALL_SELECTED_0_OF_10;EXCEPTION_SHORTFALL_SELECTED_3_OF_5;MAX_NO_THEME_NO_LLM_EXCEPTIONS_REACHED,NEOG;PTEN;TEL,2,0,2
