ticker,quarter,return_90d_pct,old_v2_status,top15_status,selected_sleeve,selected_sleeve_rank,right_tail_exception_score,mechanical_exclusion_before,mechanical_status_after
SMCI,2023Q4,103.1025,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
SMCI,2024Q1,167.1424,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
SMCI,2025Q2,101.3393,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
SNBR,2025Q4,137.4280,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
SNDK,2025Q3,324.9837,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
SNDK,2025Q4,136.1943,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
SYM,2023Q2,137.3552,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
SYM,2025Q2,161.2126,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
TNDM,2024Q1,109.7551,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
TPC,2024Q1,107.1698,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
TROX,2025Q4,120.0637,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
ULCC,2024Q3,100.9375,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
UPST,2023Q2,163.4929,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
VITL,2024Q1,141.4474,missed,missed,,,,NOT_RANKED_IN_SELECTED_SLOTS,NOT_RANKED_IN_SELECTED_SLOTS
VSAT,2025Q2,149.3308,missed,missed,,,,POST_LLM_DEMOTE,POST_LLM_DEMOTE
WLDN,2025Q2,112.1667,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
XMTR,2023Q4,101.2743,missed,missed,,,,ENTRY_SCORE_BELOW_EXCEPTION_MIN,ENTRY_SCORE_BELOW_EXCEPTION_MIN
