ticker,status,cik,company_title,output_path
ADTN,fetched,926282,"ADTRAN Holdings, Inc.",/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADTN.json
ADTX,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADTX.json
ADUR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADUR.json
ADUS,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADUS.json
ADV,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADV.json
ADVB,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADVB.json
ADXN,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_ADXN.json
AEAQ,fetched,2083689,Activate Energy Acquisition Corp.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEAQ.json
AEAQU,fetched,2083689,Activate Energy Acquisition Corp.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEAQU.json
AEBI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEBI.json
AEC,fetched,1519469,ANFIELD ENERGY INC.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEC.json
AEE,fetched,1002910,AMEREN CORP,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEE.json
AEHL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEHL.json
AEHR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEHR.json
AEI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEI.json
AEIS,fetched,927003,ADVANCED ENERGY INDUSTRIES INC,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEIS.json
AEMD,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEMD.json
AENT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AENT.json
AENTW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AENTW.json
AEO,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEO.json
AEP,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEP.json
AERT,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AERT.json
AERTW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AERTW.json
AES,fetched,874761,AES CORP,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AES.json
AESI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AESI.json
AEVA,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEVA.json
AEVAW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEVAW.json
AEYE,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AEYE.json
AFBI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFBI.json
AFCG,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFCG.json
AFJK,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFJK.json
AFJKR,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFJKR.json
AFJKU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFJKU.json
AFL,fetched,4977,AFLAC INC,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFL.json
AFRI,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFRI.json
AFRIW,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFRIW.json
AFRM,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFRM.json
AFYA,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AFYA.json
AG,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AG.json
AGAE,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGAE.json
AGCC,http_404,2060016,Agencia Comercial Spirits Ltd.,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGCC.json
AGEN,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGEN.json
AGH,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGH.json
AGIO,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGIO.json
AGL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGL.json
AGM,fetched,845877,FEDERAL AGRICULTURAL MORTGAGE CORP,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGM.json
AGMB,fetched,2020932,Agomab Therapeutics NV,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGMB.json
AGMH,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGMH.json
AGNC,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGNC.json
AGNCL,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGNCL.json
AGNCM,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGNCM.json
AGNCN,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGNCN.json
AGNCO,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGNCO.json
AGNCP,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGNCP.json
AGNCZ,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGNCZ.json
AGPU,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGPU.json
AGRZ,already_cached,,,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/facts_AGRZ.json
