quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,adv_bucket,sector_gics
2024Q3,CPT,2024-08-01,<$100M,0.578,90692205.32,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,344.6,,,6,6,6,6,2,116006,2024-08-02,115.959999,3.0873,4.3377,9.1756,5.7261,-0.1466,>$50M ADV,
2024Q3,CRBP,2024-08-06,<$100M,0.882,11772389.68,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,5,6,6,1,11710,2024-08-07,54.509998,6.7694,5.0083,-8.2003,-65.1624,-64.8688,$10M-$50M ADV,
2024Q3,CRNX,2024-08-08,<$100M,2.679,42006559.06,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,0.4,,,1,6,6,4,1,14268,2024-08-09,48.360001,9.4293,8.9744,8.0232,6.9065,23.6766,$10M-$50M ADV,
2024Q3,CTNT,2024-08-13,<$100M,10.214,15239028.46,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,0.2,,,5,0,6,6,1,12159,2024-08-14,3.648000,44.2982,-3.5088,20.6140,-5.2632,-33.9364,$10M-$50M ADV,
2024Q3,CTRE,2024-08-02,<$100M,50.606,32658592.76,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,6,6,6,2,88311,2024-08-05,26.080000,6.7868,12.0399,14.3788,16.4494,19.0951,$10M-$50M ADV,
2024Q3,CUBI,2024-07-25,<$100M,12.949,15814076.33,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,6,6,6,2,126322,2024-07-26,65.480003,-16.0812,-28.5125,-23.1521,-30.0397,-30.4520,$10M-$50M ADV,
2024Q3,CYTK,2024-08-08,<$100M,4.613,114409112.05,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,0.2,,,2,4,6,4,1,21563,2024-08-09,52.000000,8.5769,10.3654,7.3654,4.4808,7.3846,>$50M ADV,
2024Q3,DBRG,2024-08-07,<$100M,18.496,35243563.89,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,390,,,6,6,6,6,1,70886,2024-08-08,13.050000,-6.5134,-4.7510,-14.3295,14.2529,-2.2222,$10M-$50M ADV,
2024Q3,DNA,2024-08-08,<$100M,80.702,37035570.93,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,56,,,1,1,6,6,1,23315,2024-08-09,12.400000,-24.5161,-42.8226,-56.7742,-32.7419,-32.4194,$10M-$50M ADV,
2024Q3,DNLI,2024-08-01,<$100M,35.141,24133810.18,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,294.1,,,4,3,6,6,1,18256,2024-08-02,22.420000,0.4460,6.5566,12.0428,27.8769,15.7895,$10M-$50M ADV,
2024Q3,EBC,2024-07-25,<$100M,17.685,10260552.95,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,0.2,,,6,4,6,6,1,55090,2024-07-26,16.690001,-11.3241,-8.0887,0.2397,-2.6962,0.1797,$10M-$50M ADV,
2024Q3,EDIT,2024-08-07,<$100M,9.851,11628506.69,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,0.5,,,1,0,6,6,1,10054,2024-08-08,4.370000,-6.1785,-15.7895,-19.6796,-26.5446,-24.9428,$10M-$50M ADV,Healthcare
2024Q3,ENVX,2024-07-31,<$100M,0.021,66456950.11,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,3.8,,,6,6,6,6,1,29835,2024-08-01,13.860000,-28.2107,-24.2424,-37.7706,-32.6118,-24.3867,>$50M ADV,
2024Q3,ESTA,2024-08-06,<$100M,46.524,15442776.67,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,44.1,,,6,5,6,6,1,16587,2024-08-07,33.689999,29.9495,37.3405,23.4491,37.2217,42.1787,$10M-$50M ADV,
