quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,AORT,2024-08-08,<$100M,83.229,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,98,,,6,6,6,6,1,23253,2024-08-09,25.940001,-2.7371,3.5466,-6.1295,-0.9252,11.7193
2024Q3,APVO,2024-08-08,<$100M,3.114,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,1,3,6,6,1,14825,2024-08-09,5407.919922,-1.2315,-12.8079,-14.0394,-62.3153,-23.8916
2024Q3,AQST,2024-08-06,<$100M,11.134,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,20.1,,,6,6,6,6,2,58790,2024-08-07,3.640000,17.0330,27.1978,14.8352,33.2418,30.6319
2024Q3,ARCT,2024-08-05,<$100M,80.285,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,49.9,,,2,4,6,6,1,16410,2024-08-06,22.330000,-9.5387,-3.9857,-15.7188,6.8966,-20.1970
2024Q3,ARDX,2024-08-01,<$100M,11.369,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,37.1,,,4,0,6,6,1,17239,2024-08-02,5.645000,3.1001,7.1745,-0.2657,21.3463,3.9858
2024Q3,ARI,2024-08-07,<$100M,87.117,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,3,6,6,2,31269,2024-08-08,10.080000,1.5873,3.2738,1.1905,-13.0952,-9.6230
2024Q3,ARKO,2024-08-06,<$100M,-4513.074,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,0.7,,,6,6,6,6,1,39825,2024-08-07,6.080000,5.0987,2.6316,-0.4934,14.3092,11.6776
2024Q3,ARQ,2024-08-12,<$100M,13.624,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,25.4,,,6,6,6,6,1,23839,2024-08-13,5.850000,19.8291,7.5214,-0.8547,-8.7179,19.3162
2024Q3,ARQT,2024-08-14,<$100M,2.781,,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,30.9,,,0,4,6,6,1,15727,2024-08-15,9.200000,15.0000,13.6957,10.4348,5.8696,13.8044
2024Q3,ARR,2024-07-24,<$100M,0.385,,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,4,6,6,1,19829,2024-07-25,20.420000,-3.9177,-2.0568,-0.7346,-1.5181,-4.1136
