quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,AUR,True,included,,Equity,,nasdaq,ok,1828108,RevenueFromContractWithCustomerExcludingAssessedTax,2023-08-03,10-Q,2022-06-30,63000000,2024-07-01,2.809999942779541,26307084.071327448
2024Q3,2024-07-01,AURA,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,1501796,,,,,,,,
2024Q3,2024-07-01,AURE,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001765850,,,,,,,,
2024Q3,2024-07-01,AUROW,False,missing_raw_yahoo_price,,Equity,,nasdaq,ok,1828108,RevenueFromContractWithCustomerExcludingAssessedTax,2023-08-03,10-Q,2022-06-30,63000000,,,
2024Q3,2024-07-01,AUTL,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,1730463,,,,,,,,
2024Q3,2024-07-01,AUUD,True,included,,Equity,,nasdaq,ok,1554818,Revenues,2024-05-14,10-Q,2023-03-31,0,2024-07-01,131.78294372558594,10195329.900099691
2024Q3,2024-07-01,AVA,True,included,,Equity,,russell2000,ok,104918,Revenues,2024-05-01,10-Q,2023-03-31,474631000,2024-07-01,34.20000076293945,16910909.209448498
2024Q3,2024-07-01,AVAH,False,adv_60d_below_hard_floor,,Equity,,nasdaq;russell2000,ok,1832332,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-04-01,466413000,2024-07-01,2.484999895095825,272715.1652952035
2024Q3,2024-07-01,AVAV,True,included,,Equity,Industrials,nasdaq;russell2000,ok,1368622,Revenues,2021-03-10,10-Q,2020-01-25,232073000,2024-07-01,175.6699981689453,68093221.72777812
2024Q3,2024-07-01,AVB,True,included,,Equity,,sp500,ok,915912,Revenues,2024-05-03,10-Q,2023-03-31,674708000,2024-07-01,204.32000732421875,130285612.74854024
2024Q3,2024-07-01,AVBH,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,0001443575,,,,,,,,
2024Q3,2024-07-01,AVBP,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,0001868279,,,,,,,,
2024Q3,2024-07-01,AVD,True,included,,Equity,,russell2000,ok,5981,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,124885000,2024-07-01,8.430000305175781,2249046.445983251
2024Q3,2024-07-01,AVGO,True,included,,Equity,Technology,sp500;nasdaq,ok,1730168,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-13,10-Q,2023-04-30,17648000000,2024-07-01,164.0800018310547,4961931496.786244
2024Q3,2024-07-01,AVIR,True,included,low_liquidity_keep,Equity,,nasdaq;russell2000,ok,1593899,RevenueFromContractWithCustomerExcludingAssessedTax,2023-02-28,10-K,2020-12-31,48633000,2024-07-01,3.369999885559082,958550.9504473209
2024Q3,2024-07-01,AVNS,True,included,,Equity,,russell2000,ok,1606498,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,159300000,2024-07-01,19.719999313354492,3987200.6395339966
2024Q3,2024-07-01,AVNT,True,included,,Equity,,russell2000,ok,1122976,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-07,10-Q,2023-03-31,845700000,2024-07-01,42.18000030517578,20911524.68428294
2024Q3,2024-07-01,AVNW,True,included,,Equity,,nasdaq;russell2000,ok,1377789,RevenueFromContractWithCustomerExcludingAssessedTax,2021-08-25,10-K,2019-06-28,243858000,2024-07-01,27.670000076293945,2665578.275794983
2024Q3,2024-07-01,AVO,True,included,,Equity,,nasdaq;russell2000,ok,1802974,RevenueFromContractWithCustomerExcludingAssessedTax,2024-06-06,10-Q,2023-04-30,434600000,2024-07-01,9.800000190734863,2470571.0626093545
2024Q3,2024-07-01,AVPT,True,included,,Equity,,nasdaq;russell2000,ok,1777921,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,59572000,2024-07-01,10.300000190734863,9745044.45055882
2024Q3,2024-07-01,AVR,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,0002011514,,,,,,,,
2024Q3,2024-07-01,AVT,True,included,,Equity,,nasdaq,ok,8858,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-04-01,19982273000,2024-07-01,50.720001220703125,32410250.927352905
2024Q3,2024-07-01,AVTX,True,included,low_liquidity_keep,Equity,,nasdaq,ok,1534120,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-13,10-Q,2023-03-31,475000,2024-07-01,12.609999656677246,875855.315524737
2024Q3,2024-07-01,AVX,True,included,,Equity,,nasdaq,ok,1826397,Revenues,2024-04-01,10-K,2023-12-31,16281,2024-07-01,67.5,2298886.655464808
2024Q3,2024-07-01,AVXL,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq;russell2000,missing_required_revenue_fact_before_asof,1314052,,,,,,,,
2024Q3,2024-07-01,AVY,True,included,,Equity,Materials,sp500,ok,8818,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-30,10-Q,2023-04-01,2065000000,2024-07-01,213.36000061035156,97493452.88040161
2024Q3,2024-07-01,AWK,True,included,,Equity,Energy,sp500,ok,1410636,RevenueFromContractWithCustomerExcludingAssessedTax,2024-02-14,10-K,2021-12-31,3914000000,2024-07-01,127.76000213623047,165304508.17370096
2024Q3,2024-07-01,AWR,True,included,,Equity,,russell2000,ok,1056903,Revenues,2024-05-07,10-Q,2023-03-31,161423000,2024-07-01,72.98999786376953,17022081.209259033
2024Q3,2024-07-01,AWRE,False,raw_close_below_floor;adv_60d_below_hard_floor,,Equity,,nasdaq,ok,1015739,SalesRevenueNet,2018-04-27,10-Q,2017-03-31,4156000,2024-07-01,1.9299999475479126,74576.06681724389
2024Q3,2024-07-01,AX,True,included,,Equity,,russell2000,ok,1299709,RevenueFromContractWithCustomerExcludingAssessedTax,2023-08-29,10-K,2021-06-30,31334000,2024-07-01,57.380001068115234,32599887.483584087
2024Q3,2024-07-01,AXG,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001959224,,,,,,,,
2024Q3,2024-07-01,AXGN,True,included,,Equity,,nasdaq;russell2000,ok,805928,Revenues,2024-05-02,10-Q,2023-03-31,36664000,2024-07-01,7.710000038146973,2368354.4555679956
2024Q3,2024-07-01,AXIN,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002057030,,,,,,,,
2024Q3,2024-07-01,AXINR,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0002057030,,,,,,,,
2024Q3,2024-07-01,AXNX,False,missing_local_sec_facts_file;missing_raw_yahoo_price,,,,,missing_local_sec_facts_file,,,,,,,,,
2024Q3,2024-07-01,AXON,True,included,,Equity,Industrials,sp500;nasdaq,ok,1069183,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-07,10-Q,2023-03-31,343043000,2024-07-01,289.2099914550781,155646025.94014487
2024Q3,2024-07-01,AXP,True,included,,Equity,Financials,dow;sp500,ok,4962,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-19,10-Q,2023-03-31,8846000000,2024-07-01,233.80999755859375,696290257.8217825
2024Q3,2024-07-01,AXSM,True,included,,Equity,,nasdaq;russell2000,ok,1579428,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-06,10-Q,2023-03-31,94576000,2024-07-01,81.02999877929688,50573009.19102987
2024Q3,2024-07-01,AXTI,True,included,,Equity,,nasdaq,ok,1051627,Revenues,2024-05-10,10-Q,2023-03-31,19405000,2024-07-01,3.450000047683716,2677184.948138396
2024Q3,2024-07-01,AYTU,False,adv_60d_below_hard_floor,,Equity,,nasdaq,ok,1385818,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-15,10-Q,2023-03-31,76667000,2024-07-01,2.8499999046325684,64683.43308210373
2024Q3,2024-07-01,AZ,False,sec_facts_no_us_gaap;missing_raw_yahoo_price,,Equity,,nasdaq,sec_facts_no_us_gaap,0001866030,,,,,,,,
2024Q3,2024-07-01,AZI,False,missing_required_revenue_fact_before_asof;missing_raw_yahoo_price,,Equity,,nasdaq,missing_required_revenue_fact_before_asof,0001959726,,,,,,,,
2024Q3,2024-07-01,AZO,True,included,,Equity,,sp500,ok,866787,Revenues,2024-06-07,10-Q,2023-05-06,11766591000,2024-07-01,2832.7900390625,434974442.8597005
2024Q3,2024-07-01,AZTA,True,included,,Equity,,nasdaq;russell2000,ok,933974,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,326767000,2024-07-01,51.040000915527344,27521849.26394145
2024Q3,2024-07-01,AZZ,True,included,,Equity,,russell2000,ok,8947,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-22,10-K,2022-02-28,525598000,2024-07-01,76.30000305175781,26935092.587445576
2024Q3,2024-07-01,BA,True,included,,Equity,Industrials,dow;sp500,ok,12927,Revenues,2024-04-24,10-Q,2023-03-31,17921000000,2024-07-01,186.6999969482422,1211899964.8847198
2024Q3,2024-07-01,BAC,True,included,,Equity,Financials,sp500,ok,70858,Revenues,2024-04-30,10-Q,2023-03-31,26258000000,2024-07-01,40.0099983215332,1404780801.6711361
