quarter,ticker,cik,event_accession,event_dates,primary_8k_doc,exhibit_docs,periodic_doc,primary_8k_text_len,exhibit_text_len,periodic_text_len,exhibit_table_count,exhibit_table_flag,doc_statuses,quality_pass,quality_reason,revenue_filter_keep_under_10b,revenue_bucket,revenue_value_usd,revenue_value_millions,revenue_filter_reason,revenue_fact_name_bucketed,revenue_filed_bucketed,revenue_form_bucketed,revenue_period_end_bucketed,mandatory_index_constituent,mandatory_indexes,mandatory_index_name,pipeline_status,pipeline_missing_reason
2024Q3,EQR,906107,0000950170-24-087329,2024-07-29,eqr-20240729.htm,eqr-ex99_1.htm,,3635,81105,0,101,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$500M-$1B,662494000,662.494,keep_under_10b,Revenues,2020-05-07,10-Q,2019-03-31,True,SPY,Equity Residential,doc_quality_passed,
2024Q3,ERIE,922621,0000922621-24-000018,2024-07-25,erie-20240723.htm,ex-99106302024.htm;ex-99206302024.htm;ex991image06302022.gif,,3697,25452,0,5,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:cached,True,included,True,$500M-$1B,752465000,752.465,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-25,10-Q,2023-03-31,True,SPY,Erie Indemnity,doc_quality_passed,
2024Q3,ES,72741,0001104659-24-084368,2024-07-31;2024-09-30,tm2420517d1_8k.htm,tm2420517d1_ex99-1.htm;tm2420517d1_ex99-2.htm;tm2420517d1_ex99-3.htm,,6770,32636,0,5,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached;exhibit_3:cached,True,included,True,$2B-$10B,3795643000,3795.643,keep_under_10b,Revenues,2024-05-03,10-Q,2023-03-31,True,SPY,Eversource Energy,doc_quality_passed,
2024Q3,ESE,866706,0001104659-24-086768,2024-08-07,tm2421020d1_8k.htm,tm2421020d1_ex99-1.htm,,13298,27858,0,32,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,434637000,434.637,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-10,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ESRT,1541401,0001104659-24-082370,2024-07-24,tm2419033d1_8k.htm,tm2419033d1_ex99-1.htm;tm2419033d1_ex99-2.htm,,20871,102407,0,104,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included,True,$100M-$500M,164622000,164.622,keep_under_10b,Revenues,2024-05-07,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,ESS,920522,0001140361-24-034917,2024-07-30,ef20033063_8k.htm,ef20033063_ex99-1.htm,,4159,79831,0,94,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,412421000,412.421,keep_under_10b,Revenues,2024-05-01,10-Q,2023-03-31,True,SPY,Essex Property Trust,doc_quality_passed,
2024Q3,ETN,1551182,0001551182-24-000033,2024-08-01,etn-20240801.htm,etn06302024exhibit99.htm,,2823,20859,0,11,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,5483000000,5483.0,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-30,10-Q,2023-03-31,True,SPY,Eaton Corporation,doc_quality_passed,
2024Q3,ETR,65984,0000065984-24-000090,2024-08-01,etr-20240801.htm,earningsrelease2q24_ex991.htm,,6472,76024,0,32,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$2B-$10B,2981059000,2981.059,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,True,SPY,Entergy,doc_quality_passed,
2024Q3,EVCM,1853145,0001853145-24-000044,2024-08-06,evcm-20240805.htm,evcmq224earningsrelease.htm,,10835,22398,0,5,has_tables,primary_8k:cached;exhibit_1:cached,True,included,True,$100M-$500M,161136000,161.136,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,False,,,doc_quality_passed,
2024Q3,EVER,1640428,0000950170-24-090730,2024-08-05,ever-20240805.htm,ever-ex99_1.htm;ever-ex99_2.htm,,4189,33622,0,9,has_tables,primary_8k:cached;exhibit_1:cached;exhibit_2:cached,True,included,True,$100M-$500M,109220000,109.22,keep_under_10b,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-07,10-Q,2023-03-31,False,,,doc_quality_passed,
