quarter,ticker,cik,revenue_bucket,pipeline_status,pipeline_missing_reason,repair_status,repair_notes,event_accession,event_dates,primary_8k_doc,primary_8k_cached,primary_8k_text_len,exhibit_docs,exhibit_cached_count,exhibit_doc_count,exhibit_text_len,periodic_accession,periodic_doc,periodic_cached,periodic_text_len,earnings_event_ready_for_local_extraction,periodic_doc_ready,coverage_reasons,periodic_reasons
2024Q3,ANGI,1705110,$100M-$500M,doc_quality_passed,,,,0001705110-24-000082,2024-08-15,angi-20240806.htm,True,3694,q22024earningsrelease1.htm,1,1,28995,0001705110-24-000078,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,ANGO,1275187,$100M-$500M,doc_quality_passed,,,,0001140361-24-033242,2024-07-16;2024-07-16,ef20032488_8k.htm,True,6666,ef20032488_ex99-1.htm;ef20032488_ex99-2.htm;ef20032494_ex99-1.htm,2,3,53679,0001628280-24-032989,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AON,315293,$2B-$10B,doc_quality_passed,,,,0001628280-24-033048,2024-07-26,aon-20240726.htm,True,6341,ex991prq22024.htm,1,1,39214,0001628280-24-033161,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AOS,91142,$500M-$1B,doc_quality_passed,,,,0000091142-24-000147,2024-07-23,aos-20240723.htm,True,3006,a6302024exhibit991.htm,1,1,19186,0000091142-24-000151,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,AOSL,1387467,$500M-$1B,doc_quality_passed,,,,0001387467-24-000066,2024-08-07,aosl-20240807.htm,True,3612,exhibit991earningreleaseju.htm;exhibit992earningreleaseju.htm,2,2,37641,0001387467-24-000073,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,APAM,1517302,$100M-$500M,doc_quality_passed,,,,0001517302-24-000052,2024-07-23,apam-20240723.htm,True,3729,artisan2q24earningsrelease.htm;artisan2q24pressrelease.htm,2,2,52496,0001517302-24-000057,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,APD,2969,$2B-$10B,doc_quality_passed,,,,0000002969-24-000041,2024-08-01,apd-20240801.htm,True,3956,exhibit99130jun24.htm,1,1,39284,0000002969-24-000043,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,APEI,1201792,$100M-$500M,doc_quality_passed,,,,0001104659-24-086254,2024-08-06,tm2420705d1_8k.htm,True,3467,tm2420705d1_ex99-1.htm;tm2420705d1_ex99-2.htm,2,2,39499,0001201792-24-000013,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,APH,820313,$2B-$10B,doc_quality_passed,,,,0001558370-24-010011,2024-07-24,aph-20240724x8k.htm,True,5711,aph-20240724xex99d1.htm,1,1,47457,0001558370-24-010246,,False,0,True,False,ready,missing_periodic_doc_name
2024Q3,APLE,1418121,$100M-$500M,doc_quality_passed,,,,0000950170-24-090772,2024-08-05,aple-20240805.htm,True,3421,aple-ex99_1.htm,1,1,64768,0000950170-24-090771,,False,0,True,False,ready,missing_periodic_doc_name
