Ticker,Revenue group,Net income group,Assets,Financing cash flow,Investing cash flow,Operating cash flow,return from 2024 q3 to today
AVGO,$10B-$50B,3774000000,72861000000,-8980000000,-421000000,8538000000,118.0264
AVNS,$100M-$500M,-500000,1692400000,-22100000,-4000000,-6800000,22.657
AVNT,$500M-$1B,19900000,5968500000,-25600000,-13000000,-22200000,-14.938
AVNW,$100M-$500M,8189000,364496000,6219000,-11661000,-9005000,-20.8945
AVT,$10B-$50B,184261000,12477159000,1122447000,-154130000,-948241000,51.7902
AVY,$2B-$10B,121200000,8209800000,299800000,-116600000,1900000,-24.9248
AWK,$2B-$10B,170000000,28286000000,401000000,-561000000,285000000,2.6722
AWR,$100M-$500M,34407000,2060372000,38330000,-49165000,6964000,9.5107
AXON,$100M-$500M,45139000,3436845000,37990000,-72674000,-56323000,32.0239
AXP,$2B-$10B,1816000000,236000000000,8597000000,-1404000000,-377000000,36.1598
AZZ,$500M-$1B,84022000,2221479000,1245096000,-7466000,11060000,85.4494
BA,$10B-$50B,-414000000,137012000000,-1680000000,-1823000000,-318000000,19.539
BALL,$2B-$10B,180000000,19303000000,649000000,-336000000,-275000000,2.272
BANC,$500M-$1B,-1195424000,38534064000,4327451000,149467000,-37004000,45.5859
BARK,$500M-$1B,-68299000,400420000,355458000,-21172000,-172338000,-73.9266
BAX,$2B-$10B,44000000,28276000000,-372000000,-170000000,479000000,-45.5075
BBBY,$100M-$500M,-10307000,635818000,-1705000,-14831000,20007000,-58.539
BBSI,$100M-$500M,819000,721538000,-10763000,-2041000,-26515000,-4.4276
BBT,$100M-$500M,27637000,12430821000,623886000,-343679000,41000000,39.4818
BBY,$2B-$10B,244000000,14688000000,-281000000,-204000000,-331000000,-29.5304
BCC,$1B-$2B,96733000,3458646000,-16117000,-29498000,47992000,-29.3021
BCO,$1B-$2B,15000000,6601800000,-97100000,-57600000,41100000,4.4643
BCPC,$100M-$500M,22710000,1597211000,-33318000,-10061000,34838000,13.4309
BDC,$500M-$1B,63192000,3240191000,-63797000,-3843000,-31872000,40.4212
BDN,$100M-$500M,-5259000,3732447000,134332000,-45023000,5375000,-33.3703
BDX,$2B-$10B,969000000,52780000000,835000000,-524000000,2721000000,-17.7929
BE,$100M-$500M,-74917000,2413677000,306487000,-26574000,-314710000,1813.4335
BEN,$2B-$10B,359800000,30121200000,1986800000,-2221300000,-329600000,23.5702
BFH,$2B-$10B,455000000,23141000000,-3834000000,3141000000,398000000,91.1732
BG,$10B-$50B,632000000,27110000000,901000000,45000000,931000000,15.788
BGS,$500M-$1B,3415000,3463290000,-126483000,47505000,69527000,-32.1918
BHE,$500M-$1B,12360000,2274755000,67024000,-38712000,-24906000,73.4766
BHF,$1B-$2B,-499000000,236340000000,1395000000,-1325000000,-500000000,42.7948
BHFAL,$1B-$2B,-499000000,236340000000,1395000000,-1325000000,-500000000,-23.6199
BHFAM,$1B-$2B,-499000000,236340000000,1395000000,-1325000000,-500000000,-28.1574
BHFAN,$1B-$2B,-499000000,236340000000,1395000000,-1325000000,-500000000,-31.5981
BHFAO,$1B-$2B,-499000000,236340000000,1395000000,-1325000000,-500000000,-32.6617
BHFAP,$1B-$2B,-499000000,236340000000,1395000000,-1325000000,-500000000,-29.3709
