quarter,ticker,event_date,event_accession,revenue_bucket,revenue_value,net_income_value,assets_value,financing_cash_flow_value,investing_cash_flow_value,operating_cash_flow_value,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,quarter_revenue_qoq_pct,guidance_revenue_millions,guidance_gross_margin_pct,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,primary_text_len,exhibit_text_len,json_path,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,AFRM,2024-08-28,0001820953-24-000033,$1B-$2B,1142160000,-251269000,8155615000,740396000,-875896000,-31608000,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,659,48,,,,6,6,6,6,3547,67546,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AFRM/AFRM_2024-08-28_000182095324000033.json,2024-08-29,39.110001,-2.4035,13.2191,4.3723,7.6962,74.8146
2024Q3,AGX,2024-09-05,0001558370-24-012610,$100M-$500M,103675000,2109000,475694000,-6494000,28750000,-1248000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,227,,,,,6,6,6,6,2935,15558,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AGX/AGX_2024-09-05_000155837024012610.json,2024-09-06,89.089996,1.9643,10.5175,23.0666,58.9965,67.0446
2024Q3,AGYS,2024-07-22,0000950170-24-085249,$100M-$500M,162636000,6478000,243036000,-4901000,-25679000,28475000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,56.1,,,,,6,4,6,6,3479,18057,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AGYS/AGYS_2024-07-22_000095017024085249.json,2024-07-23,105.000000,0.6190,4.4000,3.5429,2.4190,11.8476
2024Q3,AHCO,2024-08-06,0001628280-24-034954,$500M-$1B,744626000,15707000,4508650000,4448000,-89567000,140248000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,806,,,,,6,6,6,6,3621,22311,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AHCO/AHCO_2024-08-06_000162828024034954.json,2024-08-07,8.820000,20.5215,22.6190,25.8503,15.4195,4.0816
2024Q3,AHR,2024-08-05,0001632970-24-000076,$100M-$500M,452226000,-25872000,4577933000,-14300000,-33319000,23862000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,65,,,,,6,6,6,6,3841,99676,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AHR/AHR_2024-08-05_000163297024000076.json,2024-08-06,16.360001,16.1980,29.2787,35.0244,52.4450,56.9071
2024Q3,AHRT,2024-08-07,0001569187-24-000117,$100M-$500M,144175000,4709000,2562898000,22860000,-51344000,13055000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,6,6,6,4590,98435,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AHRT/AHRT_2024-08-07_000156918724000117.json,2024-08-08,11.210000,5.1740,9.5450,5.1740,-3.3006,0.3568
2024Q3,AI,2024-09-04,0001628280-24-039310,$100M-$500M,252759000,-192065000,1103028000,5711000,317015000,-86462000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,87.2,,,,,6,6,6,6,3588,25564,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AI/AI_2024-09-04_000162828024039310.json,2024-09-05,19.180000,21.3764,25.9645,25.6517,29.5099,95.9854
2024Q3,AIOT,2024-08-05,0001493152-24-030281,$100M-$500M,125960000,-12766000,226044000,16211000,-3027000,-5390000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,75,,,,,5,6,6,6,7309,19340,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AIOT/AIOT_2024-08-05_000149315224030281.json,2024-08-06,4.520000,6.6372,7.5221,2.2124,10.6195,8.8496
2024Q3,AJG,2024-07-25,0001193125-24-184856,$2B-$10B,2706100000,486500000,45094400000,958100000,-256600000,428500000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,500,,,,,4,5,6,6,4658,54605,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AJG/AJG_2024-07-25_000119312524184856.json,2024-07-26,269.130005,3.4147,5.6738,6.5582,3.7900,6.8443
2024Q3,AKAM,2024-08-08,0001086222-24-000197,$500M-$1B,600293000,97106000,9900037000,-357289000,-119888000,233499000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,980,,,,,6,6,6,6,3406,37247,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AKAM/AKAM_2024-08-08_000108622224000197.json,2024-08-09,98.010002,3.7139,3.6629,-2.9997,3.3874,6.5197
2024Q3,ALB,2024-07-31,0000915913-24-000137,$2B-$10B,2580252000,1238580000,18270652000,-118676000,-539008000,720980000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1400,,,,,6,6,6,6,5633,39875,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ALB/ALB_2024-07-31_000091591324000137.json,2024-08-01,94.000000,-19.1489,-5.7447,-10.5106,0.7553,1.6170
2024Q3,ALG,2024-07-31,0000897077-24-000095,$100M-$500M,411771000,33349000,1409386000,66773000,-6466000,1206000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,416.3,,,,,6,6,6,5,3343,15882,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ALG/ALG_2024-07-31_000089707724000095.json,2024-08-01,185.000000,-7.9459,-2.7946,-3.2973,-2.6324,-6.4378
2024Q3,ALGM,2024-07-23,0000950103-24-010519,$500M-$1B,768674000,119407000,1181155000,-5307000,-66271000,156129000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,2,2,6,24252,11371,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ALGM/ALGM_2024-07-23_000095010324010519.json,2024-07-24,25.790001,-17.0221,-9.7325,-3.1020,-14.3854,-21.7138
2024Q3,ALGN,2024-07-24,0001097149-24-000045,$500M-$1B,943147000,87798000,6083877000,-258961000,-52829000,199895000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1028.5,,,,,6,6,6,6,3364,38426,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ALGN/ALGN_2024-07-24_000109714924000045.json,2024-07-25,228.110001,-8.8422,-3.5422,1.5519,10.9815,-8.9650
2024Q3,ALGT,2024-07-31,0001362468-24-000040,$500M-$1B,649687000,56149000,4869410000,-11877000,-114239000,215400000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,6,6,6,7320,45528,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ALGT/ALGT_2024-07-31_000136246824000040.json,2024-08-01,56.070000,-34.7780,-26.6631,-26.7701,-1.8013,12.2882
2024Q3,ALKS,2024-07-24,0000950170-24-085860,$100M-$500M,287595000,-41845000,2136223000,-22620000,72850000,-21302000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,399.1,,,,,6,6,6,6,3565,34321,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ALKS/ALKS_2024-07-24_000095017024085860.json,2024-07-25,26.680000,4.3853,-1.3868,6.8591,5.3223,4.3853
2024Q3,ALLE,2024-07-24,0001579241-24-000044,$500M-$1B,923000000,123500000,4311500000,-15400000,-51400000,69000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,965.6,,,,,6,6,6,6,3641,26281,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ALLE/ALLE_2024-07-24_000157924124000044.json,2024-07-25,129.029999,-0.9920,1.5965,6.7271,10.5557,16.9185
2024Q3,ALRM,2024-08-08,0001459200-24-000020,$100M-$500M,209716000,14207000,1439563000,842000,-12943000,-3521000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct,regex_fallback,157.3,,,157.3,,6,6,6,5,3529,32418,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ALRM/ALRM_2024-08-08_000145920024000020.json,2024-08-09,63.099998,-6.2758,-5.2456,-12.1870,-16.3391,-9.4453
2024Q3,ALTG,2024-08-07,0000950170-24-092824,$100M-$500M,420700000,1000000,1570900000,37900000,-18900000,-20100000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,19.7,,,,,6,5,6,6,3589,27699,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/ALTG/ALTG_2024-08-07_000095017024092824.json,2024-08-08,7.610000,-21.2878,-11.0381,-21.8134,-18.2654,-0.9198
2024Q3,AMC,2024-07-22,0001104659-24-081453,$500M-$1B,954400000,-235500000,9009200000,68900000,-16600000,-189900000,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,,,6,0,6,6,34683,19729,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AMC/AMC_2024-07-22_000110465924081453.json,2024-07-23,5.300000,-6.7925,-4.9057,-7.1698,-12.0755,-19.0566
2024Q3,AMCX,2024-08-09,0001514991-24-000032,$500M-$1B,717447000,103610000,4969787000,-28310000,-7005000,-132519000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,626,,,,,6,2,6,6,3427,28905,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AMCX/AMCX_2024-08-09_000151499124000032.json,2024-08-12,9.500000,9.2632,3.6842,-16.0000,-16.0000,-8.0000
2024Q3,AMD,2024-07-30,0000002488-24-000121,$2B-$10B,5353000000,-139000000,67885000000,-259000000,-1237000000,486000000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,5800,,,,,6,6,6,6,5629,23684,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AMD/AMD_2024-07-30_000000248824000121.json,2024-07-31,150.729996,-9.2616,3.7617,-1.4397,8.8569,10.2966
2024Q3,AME,2024-08-01,0001037868-24-000045,$1B-$2B,1597117000,305712000,15023533000,-214966000,-122160000,386536000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1730,,,,,6,6,6,6,3584,11613,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AME/AME_2024-08-01_000103786824000045.json,2024-08-02,157.649994,1.9727,4.8018,5.7279,7.2629,16.2956
2024Q3,AMGN,2024-08-06,0000318154-24-000033,$2B-$10B,6105000000,2841000000,97154000000,21509000000,1358000000,1064000000,,not_scored,,,,,,,missing_required_data,guidance_revenue_millions,regex_fallback,8400,20,,,,6,6,6,6,9686,57096,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AMGN/AMGN_2024-08-06_000031815424000033.json,2024-08-07,320.989990,2.1745,1.8505,-0.1340,-1.1028,-0.5296
2024Q3,AMKR,2024-07-29,0001047127-24-000156,$1B-$2B,1471539000,45351000,6771125000,-66206000,-155704000,175746000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,1460,,,,,6,3,6,3,3246,17167,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AMKR/AMKR_2024-07-29_000104712724000156.json,2024-07-30,34.970001,-9.2079,-5.4332,-6.4055,-12.4964,-15.5562
2024Q3,AMN,2024-08-08,0000950142-24-002148,$1B-$2B,1126223000,84110000,2924394000,-44457000,-32431000,43434000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,741,,,,,6,6,6,6,3378,35206,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AMN/AMN_2024-08-08_000095014224002148.json,2024-08-09,61.029999,-16.3035,-13.2230,-25.1188,-36.3264,-32.9510
2024Q3,AMPH,2024-08-07,0001297184-24-000045,$100M-$500M,140022000,26032000,1512912000,-13548000,-6333000,40382000,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,182.4,,,,,6,2,5,5,3483,23339,Growth/earnings_8k_sec_parser/local_extractions_2024Q3/AMPH/AMPH_2024-08-07_000129718424000045.json,2024-08-08,42.490002,10.1200,14.2857,4.8247,10.2142,25.6766
