quarter,ticker,event_date,event_accession,extraction_source,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,primary_text_len,exhibit_text_len,semantic_text_len,semantic_parse_status,table_count,json_path
2024Q3,AGX,2024-09-05,0001558370-24-012610,sec_parser_table_xbrl,6,6,6,6,2935,15558,15164,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AGX/AGX_2024-09-05_000155837024012610.json
2024Q3,AGYS,2024-07-22,0000950170-24-085249,sec_parser_table_xbrl,6,4,6,6,3479,18057,18039,sec_parser,6,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AGYS/AGYS_2024-07-22_000095017024085249.json
2024Q3,AHCO,2024-08-06,0001628280-24-034954,sec_parser_table_xbrl,6,6,6,6,3621,22311,21951,sec_parser,6,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AHCO/AHCO_2024-08-06_000162828024034954.json
2024Q3,AHR,2024-08-05,0001632970-24-000076,sec_parser_table_xbrl,6,6,6,6,3841,99676,99841,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AHR/AHR_2024-08-05_000163297024000076.json
2024Q3,AHRT,2024-08-07,0001569187-24-000117,sec_parser_table_xbrl,6,6,6,6,4590,98435,99522,sec_parser,8,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AHRT/AHRT_2024-08-07_000156918724000117.json
2024Q3,AI,2024-09-04,0001628280-24-039310,sec_parser_table_xbrl,6,6,6,6,3588,25564,25209,sec_parser,9,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AI/AI_2024-09-04_000162828024039310.json
2024Q3,AIOT,2024-08-05,0001493152-24-030281,sec_parser_table_xbrl,5,6,6,6,7309,19340,19519,sec_parser,0,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AIOT/AIOT_2024-08-05_000149315224030281.json
2024Q3,AJG,2024-07-25,0001193125-24-184856,sec_parser_table_xbrl,4,5,6,6,4658,54605,54601,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AJG/AJG_2024-07-25_000119312524184856.json
2024Q3,AKAM,2024-08-08,0001086222-24-000197,sec_parser_table_xbrl,6,6,6,6,3406,37247,36579,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/AKAM/AKAM_2024-08-08_000108622224000197.json
2024Q3,ALB,2024-07-31,0000915913-24-000137,sec_parser_table_xbrl,6,6,6,6,5633,39875,39233,sec_parser,12,Growth/earnings_8k_sec_parser/local_extractions_2024Q3_secparser/ALB/ALB_2024-07-31_000091591324000137.json
