quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2023Q4,COO,$2B-$10B,1,2,-1,-1,0,1,mixed,,,,,,,2023-12-08,86.000000,6.3023,10.3314,8.5959,8.9244,18.6977
2023Q4,COOK,$100M-$500M,-1,-1,-1,0,0,-3,weak,,,,,,,2023-11-09,150.000000,-21.0000,-24.3333,-25.0000,-19.0000,-30.0000
2023Q4,CORT,$100M-$500M,1,2,-1,1,1,4,good,,,,,,,2023-11-02,27.860001,-10.9117,-9.0452,-5.7430,-13.2807,-24.2642
2023Q4,CPAY,$1B-$2B,2,1,-1,0,0,2,mixed,,,,,,,2023-11-09,233.000000,0.9871,1.8154,10.9142,22.0558,25.3176
2023Q4,CPB,$2B-$10B,2,1,2,1,0,6,strong,,,,,,,2023-12-07,43.380001,0.8760,-1.2218,1.2679,0.7838,-0.1844
2023Q4,CPK,$100M-$500M,2,2,2,1,0,7,strong,,,,,,,2023-11-03,95.330002,-4.5841,-2.7693,5.6855,10.9619,9.1367
2023Q4,CPRT,$100M-$500M,2,2,2,0,0,6,strong,,,,,,,2023-11-17,51.230000,-0.0586,-6.9295,-4.8800,-6.5001,-2.9280
2023Q4,CRAI,$100M-$500M,1,-1,-1,0,1,0,mixed,,,,,,,2023-11-03,82.540001,11.2188,17.6036,18.5607,20.0872,30.1308
2023Q4,CRC,$500M-$1B,1,2,2,1,0,6,strong,,,,,,,2023-11-02,52.459999,-3.9649,-2.4781,-2.1540,2.9356,-9.1117
2023Q4,CRCT,$100M-$500M,1,1,-1,1,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2023-11-08,7.610000,-3.8108,-8.4100,-8.6728,-15.3745,-27.7267
2023Q4,CRDO,<$100M,-1,-1,-1,0,0,-3,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-30,18.459999,-1.0834,2.8711,-0.4334,14.5721,20.0975
2023Q4,CRI,$2B-$10B,1,-1,-1,1,1,1,mixed,,,,,,,2023-10-30,64.910004,3.8515,6.8556,4.0518,15.3751,18.9339
2023Q4,CRK,$1B-$2B,-1,2,2,1,0,4,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2023-10-31,12.040000,-9.8837,-10.4651,-18.0233,-25.7475,-34.0532
2023Q4,CRL,$2B-$10B,2,2,-1,0,0,3,good,,,,,,,2023-11-09,177.210007,7.5165,11.2240,16.5284,28.0571,23.3452
2023Q4,CRM,>$10B,1,2,2,0,0,5,good,,,,,,,2023-11-30,249.050003,1.2247,4.4971,2.8428,15.5832,20.3654
2023Q4,CRNC,$100M-$500M,-1,1,-1,1,0,0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-28,16.959999,1.1203,2.4175,19.0448,24.2335,-14.0920
2023Q4,CROX,$2B-$10B,2,1,-1,-1,1,2,mixed,,,,,,,2023-11-03,84.000000,-8.0119,12.6071,25.0714,11.6309,20.0119
2023Q4,CRSP,<$100M,-1,-1,-1,-1,0,-4,weak,,,,,,,2023-11-07,52.439999,29.4622,36.5561,33.8863,19.5461,23.0168
2023Q4,CRSR,$500M-$1B,-1,1,1,1,1,3,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2023-11-08,12.370000,6.1439,1.2126,10.9943,13.0154,3.1528
2023Q4,CRTO,$1B-$2B,-1,1,-1,1,1,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-03,24.650000,-5.4361,0.3245,2.3124,-0.0811,6.3489
2023Q4,CRUS,$500M-$1B,2,2,2,1,0,7,strong,,,,,,,2023-11-03,68.000000,6.1177,12.1176,13.2647,20.1176,13.1912
2023Q4,CRVL,$100M-$500M,1,2,2,1,0,6,strong,,,,,,,2023-11-01,64.476669,4.3582,9.9881,11.6942,27.2140,22.6697
2023Q4,CSGP,$1B-$2B,1,2,2,1,0,6,strong,,,,,,,2023-10-25,68.000000,13.2794,21.6765,24.6765,28.7206,23.3235
2023Q4,CSGS,$500M-$1B,1,-1,-1,1,0,0,mixed,,,,,,,2023-11-02,49.529999,0.9489,3.6947,6.2588,7.2481,1.5748
2023Q4,CSX,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2023-10-20,31.230000,-5.8598,-3.3942,2.6577,10.7269,10.3106
2023Q4,CTAS,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2023-12-22,148.039993,-0.0422,-0.6603,1.5824,3.7963,8.4437
2023Q4,CTEV,$500M-$1B,1,2,2,1,0,6,strong,,,,,,,2023-11-08,58.799999,-12.9252,-14.9660,-12.2449,-10.2041,-26.5306
2023Q4,CTLP,<$100M,-1,-1,-1,1,0,-2,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,2023-11-10,6.170000,8.9141,14.5867,15.2350,15.8833,10.2107
2023Q4,CTOS,$1B-$2B,-1,1,-1,-1,0,-2,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,2023-11-08,5.570000,2.1544,1.7953,8.0790,14.1831,19.7487
2023Q4,CTRA,$2B-$10B,1,2,2,1,0,6,strong,,,,,,,2023-11-08,27.410000,-2.6633,-4.8887,-9.8869,-6.7858,-11.2733
2023Q4,CTRN,$100M-$500M,1,-1,-1,1,1,1,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-29,23.100000,2.9004,12.1645,22.4242,20.8225,28.6147
2023Q4,CTS,$100M-$500M,1,2,-1,0,1,3,good,,,,,,,2023-10-27,37.750000,7.7616,4.1589,4.0795,14.9669,11.0993
2023Q4,CTSH,$2B-$10B,1,1,2,1,1,6,strong,,,,,,,2023-11-02,62.599998,4.9201,13.2268,13.6741,18.8498,23.1949
2023Q4,CTVA,>$10B,2,-1,-1,0,0,0,mixed,,,,,,,2023-10-30,48.169998,-7.5981,-2.7195,-5.5429,-0.5190,-4.6502
2023Q4,CVCO,$500M-$1B,2,1,2,1,0,6,strong,,,,,,,2023-11-03,254.889999,2.0048,9.8474,17.0191,35.1250,32.2727
2023Q4,CVGI,$100M-$500M,1,-1,-1,0,2,1,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2023-11-02,7.000000,-20.2857,-9.5714,-2.8571,-1.7143,-7.2857
2023Q4,CVI,$2B-$10B,1,2,2,1,2,8,strong,,,,,,,2023-10-31,31.260000,-3.1990,1.8554,1.6315,-0.3519,4.0947
2023Q4,CVLG,$100M-$500M,2,2,2,1,0,7,strong,,Tier 0 - Broad right-tail scouting universe,,,,,2023-10-27,19.915001,2.7868,3.3643,7.9337,14.6874,28.5463
2023Q4,CVLT,$100M-$500M,1,2,2,1,0,6,strong,,,,,,,2023-11-01,65.320000,7.9302,9.2468,15.1408,17.8353,34.8285
2023Q4,CVNA,>$10B,-1,-1,-1,-1,2,-2,weak,,,,,,,2023-11-03,28.700001,-0.2091,9.4425,39.6167,70.2787,48.1881
2023Q4,CVSA,$100M-$500M,1,2,2,1,0,6,strong,,,,,,,2023-10-27,48.000000,15.0000,15.0208,20.2083,24.7500,27.4583
2023Q4,CWH,$2B-$10B,1,1,1,1,1,5,good,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-02,21.120001,-9.9432,1.2784,6.4394,25.1894,17.6610
2023Q4,CWK,$2B-$10B,1,-1,-1,1,1,1,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2023-10-31,6.940000,8.7896,22.1902,18.2997,54.0346,53.3141
2023Q4,CWST,$500M-$1B,1,2,-1,0,0,2,mixed,,,,,,,2023-11-02,75.309998,4.4616,5.6168,12.8801,12.4419,13.3183
2023Q4,CWT,$500M-$1B,2,2,-1,-1,0,2,mixed,,,,,,,2023-10-27,48.779999,5.7196,4.6125,4.4075,7.7286,-6.0681
2023Q4,CXM,$100M-$500M,-1,1,-1,0,0,-1,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,2023-12-07,11.990000,-4.2535,0.4170,1.6681,3.6697,9.3411
2023Q4,CXW,$1B-$2B,1,1,2,1,0,5,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2023-11-08,14.210000,-2.8853,4.0113,-2.8149,-1.6889,-0.6334
2023Q4,CYH,$2B-$10B,-1,1,-1,1,0,0,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",2023-10-26,2.260000,9.7345,19.0266,22.1239,45.5752,62.3894
2023Q4,CZR,$2B-$10B,-1,1,1,1,0,2,mixed,,,,,,,2023-11-01,40.880001,2.8620,11.4237,14.3591,16.8787,8.2926
2023Q4,D,$2B-$10B,1,2,-1,-1,0,1,mixed,,,,,,,2023-11-06,44.009998,6.4985,6.5894,7.3847,11.4292,1.5451
2023Q4,DAN,$2B-$10B,-1,1,1,0,2,3,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2023-10-30,12.610000,-7.6130,4.1237,4.9960,15.8604,9.5956
2023Q4,DASH,$2B-$10B,-1,1,1,1,0,2,mixed,,,,,,,2023-11-02,85.089996,5.5001,12.0578,15.5953,13.3623,22.4586
2023Q4,DBD,$2B-$10B,-1,-1,-1,0,1,-2,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2023-11-10,21.660000,13.2502,18.5596,27.8393,29.8246,42.8440
2023Q4,DBI,$2B-$10B,1,1,-1,0,2,3,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2023-12-06,8.530000,3.7515,7.9719,-0.3517,7.3857,25.0879
2023Q4,DBX,$1B-$2B,2,2,2,1,0,7,strong,,,,,,,2023-11-03,25.379999,6.5012,12.4114,11.5445,13.4752,27.1474
2023Q4,DCGO,$100M-$500M,1,2,-1,0,1,3,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2023-11-07,6.100000,-4.9180,-6.7213,-11.9672,-17.2131,-46.2295
2023Q4,DCH,$2B-$10B,1,1,1,1,1,5,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2023-11-06,7.160000,-1.5363,0.4190,6.0056,15.7821,10.3352
2023Q4,DCO,$500M-$1B,1,1,-1,1,1,3,good,,,,,,,2023-11-09,49.650002,0.3223,0.0806,5.0957,0.0806,-1.5307
2023Q4,DD,$2B-$10B,2,1,-1,1,0,3,good,,,,,,,2023-11-02,28.217573,1.6162,5.7384,6.4057,14.9318,-8.3630
2023Q4,DDD,$100M-$500M,-1,-1,-1,1,0,-2,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,"Tier 4 - Ultra-distressed tag, not a production tier",2023-10-26,3.870000,9.5607,17.3127,37.2093,75.4522,28.6822
2023Q4,DDOG,$1B-$2B,-1,2,1,0,0,2,mixed,,,,,,,2023-11-08,101.699997,9.9017,12.3304,11.9272,17.2566,27.0206
