quarter,ticker,revenue_bucket,profitability_score,operating_cash_flow_score,fcf_proxy_score,financing_dependence_score,asset_efficiency_score,pre_llm_fundamental_score,pre_llm_fundamental_bucket,pre_llm_fundamental_missing_fields,tier_bucket,tier_1_bucket,tier_2_bucket,tier_3_bucket,tier_4_bucket,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct
2024Q3,NPKI,$100M-$500M,1,2,2,1,0,6,strong,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,,,2024-08-06,8.220000,-3.1630,0.6083,-8.5158,-13.2603,-20.0730
2024Q3,NPO,$1B-$2B,1,1,1,1,0,4,good,,,,,,,2024-08-07,155.639999,-0.7389,1.3814,-6.5343,3.5338,-4.4269
2024Q3,NRDS,$100M-$500M,1,1,2,0,0,4,good,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2024-08-01,13.410000,-15.3617,-9.5078,-6.0403,-5.2200,12.3043
2024Q3,NRG,$2B-$10B,-1,-1,-1,-1,0,-4,weak,,,,,,,2024-08-09,77.690002,5.9853,6.3457,0.2960,20.4273,24.0829
2024Q3,NSC,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-07-26,242.000000,-0.9587,-0.3512,0.1529,2.0372,4.7190
2024Q3,NSIT,$2B-$10B,1,1,2,1,0,5,good,,,,,,,2024-08-02,190.710007,-2.6323,8.4788,6.1087,10.7388,-8.2796
2024Q3,NSP,$1B-$2B,1,1,1,1,1,5,good,,,,,,,2024-08-02,93.300003,-2.9046,-0.6538,-1.2969,-7.5991,-15.5734
2024Q3,NSSC,$100M-$500M,1,1,-1,0,1,2,mixed,,,,,,,2024-08-27,46.880001,-26.9838,-15.9130,-11.8601,-16.8089,-14.5478
2024Q3,NTAP,$2B-$10B,2,2,2,1,1,8,strong,,,,,,,2024-08-29,125.080002,-8.3786,-4.5811,-1.2552,-3.7336,-2.1186
2024Q3,NTCT,$500M-$1B,1,2,2,1,0,6,strong,,Tier 0 - Broad right-tail scouting universe,,,,,2024-07-26,20.510000,-12.1404,-4.4369,3.1204,5.1682,-0.2438
2024Q3,NTGR,$100M-$500M,-1,1,-1,0,0,-1,weak,,Tier 0 - Broad right-tail scouting universe,,,,,2024-08-01,16.850000,-11.0386,-4.7478,-3.1454,19.0504,22.7300
2024Q3,NTNX,$1B-$2B,-1,2,2,1,1,5,good,,,,,,,2024-08-29,60.990002,-1.3773,-5.8862,-2.8529,5.1320,9.3622
2024Q3,NTRA,$100M-$500M,-1,-1,-1,0,0,-3,weak,,,,,,,2024-08-09,105.550003,17.2714,10.1374,11.4732,24.9929,23.5339
2024Q3,NTRS,$1B-$2B,2,-1,2,1,0,4,good,,,,,,,2024-07-18,87.839996,0.8652,-5.5783,-0.7514,2.1744,10.0182
2024Q3,NUE,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-07-23,160.500000,-5.8878,-11.9315,-8.8972,-8.4112,-2.7352
2024Q3,NUS,$100M-$500M,1,-1,-1,0,0,-1,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,Tier 3 - Revised dislocation feed,,2024-08-09,10.710000,-8.9636,-13.2586,-31.8394,-39.7759,-39.7759
2024Q3,NVCR,$100M-$500M,-1,-1,2,0,0,0,mixed,,Tier 0 - Broad right-tail scouting universe,,,,,2024-07-26,19.360001,5.7851,-2.3244,-6.2500,-15.1343,-15.4442
2024Q3,NVDA,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-08-29,121.360001,-12.2693,-6.5837,0.0659,15.7877,11.5194
2024Q3,NVR,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-07-24,8571.980469,-3.4548,-0.0462,8.7411,13.2493,10.1070
2024Q3,NVRI,$500M-$1B,-1,1,1,1,0,2,mixed,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,,,,2024-08-02,12.100000,-11.9008,-6.8595,-6.9421,-15.3719,-36.6942
2024Q3,NWE,$100M-$500M,2,2,2,1,0,7,strong,,,,,,,2024-08-01,53.950001,-3.9666,-1.1677,0.1483,6.0612,-0.0741
2024Q3,NWL,$1B-$2B,-1,-1,-1,0,0,-3,weak,,Tier 0 - Broad right-tail scouting universe,Tier 1 - Balanced priority feed,Tier 2 - High-priority compact feed,Tier 3 - Revised dislocation feed,,2024-07-29,8.970000,-17.6143,-17.5028,-20.5128,-14.9387,6.2430
2024Q3,NWN,$100M-$500M,2,2,2,0,0,6,strong,,,,,,,2024-08-05,39.330002,-1.7544,2.4155,0.9662,0.4831,-2.3138
2024Q3,NWS,$2B-$10B,1,1,1,1,0,4,good,,,,,,,2024-08-09,28.450001,1.5817,1.7223,-2.8471,-4.3937,10.0879
2024Q3,NWSA,$2B-$10B,1,1,1,1,0,4,good,,,,,,,2024-08-09,27.100000,2.6568,2.7675,-1.8450,-4.3911,7.6015
2024Q3,NXPI,$2B-$10B,2,2,2,1,0,7,strong,,,,,,,2024-07-24,260.769989,-9.7250,-4.8932,-3.1215,-11.0864,-11.2168
2024Q3,NXST,$1B-$2B,1,2,2,1,0,6,strong,,,,,,,2024-08-09,162.369995,2.9685,3.8616,0.2402,0.5050,16.0929
2024Q3,NXT,$1B-$2B,1,-1,-1,1,2,2,mixed,,,,,,,2024-08-02,43.400002,-10.1843,-9.1244,-14.2166,-12.3733,-8.2489
2024Q3,O,$500M-$1B,2,2,-1,-1,0,2,mixed,,,,,,,2024-08-06,58.880001,1.9871,4.9083,5.8594,4.7384,0.6963
