quarter,ticker,cik,asof_date
2024Q1,BTSGU,0001865782,2024-02-29
2024Q1,BTU,1064728,2024-02-08
2024Q1,BV,1734713,2024-01-31
2024Q1,BVS,1665988,2024-03-12
2024Q1,BWIN,1781755,2024-02-28
2024Q1,BWXT,1486957,2024-02-27
2024Q1,BX,1393818,2024-01-25
2024Q1,BXC,1301787,2024-02-20
2024Q1,BXP,1037540,2024-01-30
2024Q1,BZH,915840,2024-02-01
2024Q1,CABO,1632127,2024-02-22
2024Q1,CACC,885550,2024-01-31
2024Q1,CAG,23217,2024-01-04
2024Q1,CAKE,887596,2024-02-21
2024Q1,CAL,14707,2024-03-19
2024Q1,CALM,16160,2024-01-03
2024Q1,CALX,1406666,2024-01-29
2024Q1,CALY,837465,2024-02-13
2024Q1,CAR,723612,2024-02-12
2024Q1,CARG,1494259,2024-02-26
2024Q1,CARR,1783180,2024-02-06
2024Q1,CARS,1683606,2024-02-22
2024Q1,CASH,907471,2024-01-24
2024Q1,CBL,910612,2024-02-12
2024Q1,CBOE,1374310,2024-02-02
2024Q1,CBRL,1067294,2024-02-27
2024Q1,CBT,16040,2024-02-05
2024Q1,CBZ,944148,2024-02-15
2024Q1,CC,1627223,2024-02-29
2024Q1,CCC,1818201,2024-02-28
2024Q1,CCI,1051470,2024-01-24
2024Q1,CCL,815097,2024-03-27
2024Q1,CCOI,1158324,2024-02-29
2024Q1,CCRN,1141103,2024-02-21
2024Q1,CCS,1576940,2024-01-31
2024Q1,CDE,215466,2024-01-29
2024Q1,CDNS,813672,2024-02-12
2024Q1,CDP,860546,2024-02-08
2024Q1,CDRE,1860543,2024-03-05
2024Q1,CDW,1402057,2024-02-07
2024Q1,CECO,3197,2024-03-05
2024Q1,CELH,1341766,2024-02-29
2024Q1,CENX,949157,2024-02-21
2024Q1,CF,1324404,2024-02-14
2024Q1,CFG,759944,2024-01-17
2024Q1,CFLT,1699838,2024-02-07
2024Q1,CGNX,851205,2024-02-15
2024Q1,CHD,313927,2024-02-02
2024Q1,CHDN,20212,2024-02-21
2024Q1,CHEF,1517175,2024-02-14
2024Q1,CHRD,1486159,2024-02-21
2024Q1,CHRW,1043277,2024-01-31
2024Q1,CIEN,936395,2024-03-07
2024Q1,CINF,20286,2024-02-06
2024Q1,CL,21665,2024-01-26
2024Q1,CLB,0001958086,2024-01-31
2024Q1,CLNE,1368265,2024-02-27
2024Q1,CLW,1441236,2024-02-20
2024Q1,CLX,21076,2024-02-01
2024Q1,CMCO,1005229,2024-01-31
2024Q1,CME,1156375,2024-02-14
2024Q1,CMG,1058090,2024-02-06
2024Q1,CMI,26172,2024-02-06
2024Q1,CMP,1227654,2024-02-07
2024Q1,CMS,811156,2024-02-01
2024Q1,CNDT,1677703,2024-02-14
2024Q1,CNK,1385280,2024-02-16
2024Q1,CNMD,816956,2024-01-31
2024Q1,CNNE,1704720,2024-02-21
2024Q1,CNO,1224608,2024-02-06
2024Q1,CNP,1130310,2024-02-20
2024Q1,CNR,1710366,2024-02-06
2024Q1,CNTY,911147,2024-02-09
2024Q1,CNX,1070412,2024-01-25
2024Q1,CNXC,1803599,2024-01-24
2024Q1,CNXN,1050377,2024-02-14
2024Q1,COCO,1482981,2024-02-28
2024Q1,CODI,1345126,2024-02-28
2024Q1,COF,927628,2024-01-25
2024Q1,COHR,820318,2024-02-05
2024Q1,COIN,1679788,2024-02-15
2024Q1,COKE,317540,2024-02-21
2024Q1,COLL,1267565,2024-02-22
2024Q1,COLM,1050797,2024-02-01
2024Q1,COMP,1563190,2024-02-27
2024Q1,COO,711404,2024-02-29
2024Q1,COOK,1857853,2024-03-07
2024Q1,CORT,1088856,2024-01-08
2024Q1,CORZ,1839341,2024-03-12
2024Q1,CPAY,1175454,2024-02-07
2024Q1,CPB,16732,2024-03-06
2024Q1,CPK,19745,2024-02-21
2024Q1,CRAI,1053706,2024-02-29
2024Q1,CRC,1609253,2024-01-04
2024Q1,CRCT,1828962,2024-03-05
2024Q1,CRDO,0001807794,2024-02-27
2024Q1,CRH,849395,2024-02-29
2024Q1,CRI,1060822,2024-02-27
2024Q1,CRK,23194,2024-02-13
2024Q1,CRL,1100682,2024-02-14
2024Q1,CRM,1108524,2024-02-28
2024Q1,CRNC,1768267,2024-02-06
2024Q1,CROX,1334036,2024-02-15
2024Q1,CRSP,1674416,2024-02-21
2024Q1,CRSR,1743759,2024-02-13
2024Q1,CRTO,1576427,2024-02-07
2024Q1,CRUS,772406,2024-02-06
2024Q1,CRVL,874866,2024-01-30
2024Q1,CSGP,1057352,2024-02-20
2024Q1,CSGS,1005757,2024-02-07
2024Q1,CSX,277948,2024-01-24
2024Q1,CTAS,723254,2024-03-27
2024Q1,CTEV,1793229,2024-02-29
2024Q1,CTLP,896429,2024-02-08
2024Q1,CTOS,1709682,2024-03-07
2024Q1,CTRA,858470,2024-02-23
2024Q1,CTRN,1318484,2024-03-19
2024Q1,CTS,26058,2024-02-06
2024Q1,CTSH,1058290,2024-02-06
2024Q1,CTVA,1755672,2024-01-31
2024Q1,CVCO,278166,2024-02-01
2024Q1,CVGI,1290900,2024-03-04
2024Q1,CVGW,1133470,2024-01-17
2024Q1,CVI,1376139,2024-02-20
2024Q1,CVLG,928658,2024-01-23
2024Q1,CVLT,1169561,2024-01-30
2024Q1,CVNA,1690820,2024-02-22
2024Q1,CVSA,730464,2024-01-31
2024Q1,CWH,1669779,2024-02-21
2024Q1,CWK,1628369,2024-02-20
2024Q1,CWST,911177,2024-02-15
2024Q1,CWT,1035201,2024-02-29
2024Q1,CXM,1569345,2024-03-27
2024Q1,CXW,1070985,2024-02-08
2024Q1,CYH,1108109,2024-02-20
2024Q1,CZR,1590895,2024-01-24
2024Q1,D,715957,2024-02-22
2024Q1,DAN,26780,2024-02-20
2024Q1,DASH,1792789,2024-02-15
2024Q1,DBD,28823,2024-02-14
2024Q1,DBI,1319947,2024-03-21
2024Q1,DBX,1467623,2024-02-15
2024Q1,DCGO,1822359,2024-01-10
2024Q1,DCH,1062231,2024-02-16
2024Q1,DCO,30305,2024-02-15
2024Q1,DD,1666700,2024-01-24
2024Q1,DDD,910638,2024-02-28
2024Q1,DDOG,1561550,2024-02-13
2024Q1,DECK,910521,2024-02-01
2024Q1,DEI,1364250,2024-02-06
2024Q1,DFIN,1669811,2024-02-20
2024Q1,DG,29534,2024-03-14
2024Q1,DGII,854775,2024-01-31
2024Q1,DGX,1022079,2024-02-01
