ticker,indexes,name
BKR,QQQ;SPY,Baker Hughes
BLDR,SPY,Builders FirstSource
BLK,SPY,BlackRock
BMY,SPY,Bristol Myers Squibb
BR,SPY,Broadridge Financial Solutions
BRK-B,SPY,Berkshire Hathaway
BRO,SPY,Brown & Brown
BSX,SPY,Boston Scientific
BX,SPY,Blackstone Inc.
BXP,SPY,"BXP, Inc."
C,SPY,Citigroup
CAG,SPY,Conagra Brands
CAH,SPY,Cardinal Health
CARR,SPY,Carrier Global
CASY,SPY,Casey's
CAT,DOW;SPY,Caterpillar Inc.
CB,SPY,Chubb Limited
CBOE,SPY,Cboe Global Markets
CBRE,SPY,CBRE Group
CCEP,QQQ,Coca-Cola Europacific Partners
CCI,SPY,Crown Castle
CCL,SPY,Carnival
CDNS,QQQ;SPY,Cadence Design Systems
CDW,SPY,CDW Corporation
CEG,QQQ;SPY,Constellation Energy
CF,SPY,CF Industries
CFG,SPY,Citizens Financial Group
CHD,SPY,Church & Dwight
CHRW,SPY,C.H. Robinson
CHTR,QQQ;SPY,Charter Communications
CI,SPY,Cigna
CIEN,SPY,Ciena
CINF,SPY,Cincinnati Financial
CL,SPY,Colgate-Palmolive
CLX,SPY,Clorox
CMCSA,QQQ;SPY,Comcast
CME,SPY,CME Group
CMG,SPY,Chipotle Mexican Grill
CMI,SPY,Cummins
CMS,SPY,CMS Energy
CNC,SPY,Centene Corporation
CNP,SPY,CenterPoint Energy
COF,SPY,Capital One
COHR,SPY,Coherent Corp.
COIN,SPY,Coinbase
COO,SPY,Cooper Companies (The)
COP,SPY,ConocoPhillips
COR,SPY,Cencora
COST,QQQ;SPY,Costco
CPAY,SPY,Corpay
CPB,SPY,Campbell's Company (The)
CPRT,QQQ;SPY,Copart
CPT,SPY,Camden Property Trust
CRH,SPY,CRH plc
CRL,SPY,Charles River Laboratories
CRM,DOW;SPY,Salesforce
CRWD,QQQ;SPY,CrowdStrike
CSCO,DOW;QQQ;SPY,Cisco
CSGP,QQQ;SPY,CoStar Group
CSX,QQQ;SPY,CSX Corporation
CTAS,QQQ;SPY,Cintas
CTRA,SPY,Coterra
CTSH,QQQ;SPY,Cognizant
CTVA,SPY,Corteva
CVNA,SPY,Carvana
CVS,SPY,CVS Health
CVX,DOW;SPY,Chevron Corporation
D,SPY,Dominion Energy
DAL,SPY,Delta Air Lines
DASH,QQQ;SPY,DoorDash
DD,SPY,DuPont
DDOG,QQQ;SPY,Datadog
DE,SPY,Deere & Company
DECK,SPY,Deckers Brands
DELL,SPY,Dell Technologies
DG,SPY,Dollar General
DGX,SPY,Quest Diagnostics
DHI,SPY,D. R. Horton
DHR,SPY,Danaher Corporation
DIS,DOW;SPY,Walt Disney Company (The)
DLR,SPY,Digital Realty
DLTR,SPY,Dollar Tree
DOC,SPY,Healthpeak Properties
DOV,SPY,Dover Corporation
DOW,SPY,Dow Inc.
DPZ,SPY,Domino's
DRI,SPY,Darden Restaurants
DTE,SPY,DTE Energy
DUK,SPY,Duke Energy
DVA,SPY,DaVita
DVN,SPY,Devon Energy
DXCM,QQQ;SPY,Dexcom
EA,QQQ;SPY,Electronic Arts
EBAY,SPY,eBay Inc.
ECL,SPY,Ecolab
ED,SPY,Consolidated Edison
EFX,SPY,Equifax
EG,SPY,Everest Group
EIX,SPY,Edison International
EL,SPY,Estée Lauder Companies (The)
ELV,SPY,Elevance Health
EME,SPY,Emcor
EMR,SPY,Emerson Electric
EOG,SPY,EOG Resources
EPAM,SPY,EPAM Systems
EQIX,SPY,Equinix
EQR,SPY,Equity Residential
EQT,SPY,EQT Corporation
ERIE,SPY,Erie Indemnity
ES,SPY,Eversource Energy
ESS,SPY,Essex Property Trust
ETN,SPY,Eaton Corporation
ETR,SPY,Entergy
EVRG,SPY,Evergy
EW,SPY,Edwards Lifesciences
EXC,QQQ;SPY,Exelon
EXE,SPY,Expand Energy
EXPD,SPY,Expeditors International
EXPE,SPY,Expedia Group
EXR,SPY,Extra Space Storage
F,SPY,Ford Motor Company
FANG,QQQ;SPY,Diamondback Energy
FAST,QQQ;SPY,Fastenal
FCX,SPY,Freeport-McMoRan
FDS,SPY,FactSet
FDX,SPY,FedEx
FE,SPY,FirstEnergy
FER,QQQ,Ferrovial
FFIV,SPY,"F5, Inc."
FICO,SPY,Fair Isaac
FIS,SPY,Fidelity National Information Services
FISV,SPY,Fiserv
FITB,SPY,Fifth Third Bancorp
FIX,SPY,Comfort Systems USA
FOX,SPY,Fox Corporation (Class B)
FOXA,SPY,Fox Corporation (Class A)
FRT,SPY,Federal Realty Investment Trust
FSLR,SPY,First Solar
FTNT,QQQ;SPY,Fortinet
FTV,SPY,Fortive
GD,SPY,General Dynamics
GDDY,SPY,GoDaddy
GE,SPY,GE Aerospace
GEHC,QQQ;SPY,GE HealthCare
GEN,SPY,Gen Digital
GEV,SPY,GE Vernova
GILD,QQQ;SPY,Gilead Sciences
GIS,SPY,General Mills
GL,SPY,Globe Life
GLW,SPY,Corning Inc.
GM,SPY,General Motors
GNRC,SPY,Generac
GOOG,QQQ;SPY,Alphabet Inc. (Class C)
GOOGL,QQQ;SPY,Alphabet Inc. (Class A)
GPC,SPY,Genuine Parts Company
GPN,SPY,Global Payments
GRMN,SPY,Garmin
GS,DOW;SPY,Goldman Sachs
GWW,SPY,W. W. Grainger
HAL,SPY,Halliburton
HAS,SPY,Hasbro
HBAN,SPY,Huntington Bancshares
HCA,SPY,HCA Healthcare
HD,DOW;SPY,Home Depot (The)
HIG,SPY,Hartford (The)
HII,SPY,Huntington Ingalls Industries
HLT,SPY,Hilton Worldwide
HON,DOW;QQQ;SPY,Honeywell
HOOD,SPY,Robinhood Markets
HPE,SPY,Hewlett Packard Enterprise
HPQ,SPY,HP Inc.
HRL,SPY,Hormel Foods
HSIC,SPY,Henry Schein
HST,SPY,Host Hotels & Resorts
HSY,SPY,Hershey Company (The)
HUBB,SPY,Hubbell Incorporated
HUM,SPY,Humana
HWM,SPY,Howmet Aerospace
IBKR,SPY,Interactive Brokers
IBM,DOW;SPY,IBM
ICE,SPY,Intercontinental Exchange
IDXX,QQQ;SPY,Idexx Laboratories
IEX,SPY,IDEX Corporation
IFF,SPY,International Flavors & Fragrances
INCY,SPY,Incyte
INSM,QQQ,Insmed Incorporated
INTC,QQQ;SPY,Intel
INTU,QQQ;SPY,Intuit
INVH,SPY,Invitation Homes
IP,SPY,International Paper
IQV,SPY,IQVIA
IR,SPY,Ingersoll Rand
IRM,SPY,Iron Mountain
ISRG,QQQ;SPY,Intuitive Surgical
IT,SPY,Gartner
ITW,SPY,Illinois Tool Works
IVZ,SPY,Invesco
J,SPY,Jacobs Solutions
JBHT,SPY,J.B. Hunt
JBL,SPY,Jabil
