sample_id,quarter,ticker,event_date,revenue_bucket,pre_llm_fundamental_bucket,pre_llm_fundamental_score,profitability_score,operating_cash_flow_score,financing_dependence_score,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,accession,exhibit_doc,source_doc_type,text_len,text_path,snippet_count,quality_flags
S000205,2023Q2,ASAN,2023-06-01,$100M-$500M,weak,-3,-1,-1,0,2023-06-02,24.500000,-7.8776,-7.1837,-10.1633,-0.3673,-12.2857,0001477720-23-000028,asana8-kex991q1fy24.htm,earnings_exhibit,23155,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/ASAN_000147772023000028_asana8-kex991q1fy24.htm.txt,18,
S000206,2023Q2,AVAV,2023-06-27,$100M-$500M,weak,-2,-1,-1,1,2023-06-28,95.610001,2.4684,-1.9140,-0.6066,-0.2196,15.9921,0001558370-23-011458,avav-20230627xex99d1.htm,earnings_exhibit,32029,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/AVAV_000155837023011458_avav-20230627xex99d1.htm.txt,18,
S000207,2023Q2,BARK,2023-06-01,$100M-$500M,weak,-3,-1,-1,-1,2023-06-02,21.600000,27.7778,29.6296,27.7778,35.1852,48.1481,0001819574-23-000007,exhibit991-q42023pressrele.htm,earnings_exhibit,30212,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BARK_000181957423000007_exhibit991-q42023pressrele.htm.txt,18,
S000208,2023Q2,BBT,2023-04-20,$100M-$500M,mixed,2,-1,2,-1,2023-04-21,22.930000,-9.1147,-17.8369,-7.6755,-3.6197,-2.9655,0001104659-23-047535,tm2313279d1_ex99-1.htm,earnings_exhibit,28537,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BBT_000110465923047535_tm2313279d1_ex99-1.htm.txt,18,
S000209,2023Q2,BE,2023-05-09,$100M-$500M,weak,-2,-1,-1,1,2023-05-10,17.570000,-15.8793,-20.6033,-13.8304,-1.1383,-10.3016,0001628280-23-016807,ex991_q12023financialresul.htm,earnings_exhibit,28677,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BE_000162828023016807_ex991_q12023financialresul.htm.txt,18,
S000210,2023Q2,BHF,2023-04-17,$2B-$10B,weak,-1,-1,2,-1,2023-04-18,43.660000,1.2368,-0.5726,-3.8708,2.8859,12.2309,0001685040-23-000022,q42022bhffinancialsuppleme.htm,earnings_exhibit,57071,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BHF_000168504023000022_q42022bhffinancialsuppleme.htm.txt,18,
S000211,2023Q2,BHFAL,2023-04-17,$2B-$10B,weak,-1,-1,2,-1,2023-04-18,23.590000,2.5435,-7.7575,-1.0174,-3.0098,-6.3586,0001685040-23-000022,q42022bhffinancialsuppleme.htm,earnings_exhibit,57071,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BHFAL_000168504023000022_q42022bhffinancialsuppleme.htm.txt,18,
S000212,2023Q2,BHFAM,2023-04-17,$2B-$10B,weak,-1,-1,2,-1,2023-04-18,15.650000,-2.0447,-11.6933,-11.1821,-9.0735,-4.0895,0001685040-23-000022,q42022bhffinancialsuppleme.htm,earnings_exhibit,57071,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BHFAM_000168504023000022_q42022bhffinancialsuppleme.htm.txt,18,
S000213,2023Q2,BHFAN,2023-04-17,$2B-$10B,weak,-1,-1,2,-1,2023-04-18,17.490000,-0.2287,-9.7770,-8.6907,-4.4025,-2.6872,0001685040-23-000022,q42022bhffinancialsuppleme.htm,earnings_exhibit,57071,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BHFAN_000168504023000022_q42022bhffinancialsuppleme.htm.txt,18,
S000214,2023Q2,BHFAO,2023-04-17,$2B-$10B,weak,-1,-1,2,-1,2023-04-18,24.615999,1.5600,-7.6739,-5.0617,-6.1180,-4.2086,0001685040-23-000022,q42022bhffinancialsuppleme.htm,earnings_exhibit,57071,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BHFAO_000168504023000022_q42022bhffinancialsuppleme.htm.txt,18,
S000215,2023Q2,BHFAP,2023-04-17,$2B-$10B,weak,-1,-1,2,-1,2023-04-18,23.920000,0.0836,-9.6990,-9.1973,-10.2425,-7.1906,0001685040-23-000022,q42022bhffinancialsuppleme.htm,earnings_exhibit,57071,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BHFAP_000168504023000022_q42022bhffinancialsuppleme.htm.txt,18,
S000216,2023Q2,BHR,2023-05-02,$100M-$500M,weak,-4,-1,-1,-1,2023-05-03,3.780000,3.4392,7.1429,11.6402,7.9365,-3.9683,0001574085-23-000054,bhr2023q1earningsrelease.htm,earnings_exhibit,92354,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BHR_000157408523000054_bhr2023q1earningsrelease.htm.txt,18,
S000217,2023Q2,BLBD,2023-05-11,$100M-$500M,weak,-2,-1,-1,0,2023-05-12,24.580000,14.6054,2.5224,-11.9203,-9.5606,-18.5517,0001589526-23-000045,a20232qresultsreleaseex991.htm,earnings_exhibit,27930,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BLBD_000158952623000045_a20232qresultsreleaseex991.htm.txt,18,
S000218,2023Q2,BNED,2023-05-31,$1B-$2B,mixed,1,-1,1,0,2023-06-01,136.000000,-21.3235,-11.0294,19.1176,8.0882,-3.6765,0001193125-23-157896,d461747dex991.htm,earnings_exhibit,14550,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BNED_000119312523157896_d461747dex991.htm.txt,18,
S000219,2023Q2,BTU,2023-04-27,$2B-$10B,weak,-2,-1,-1,0,2023-04-28,23.820000,-3.1486,-12.7624,-22.3342,-11.5449,-9.0260,0001064728-23-000039,btu8k20230427ex991.htm,earnings_exhibit,27156,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/BTU_000106472823000039_btu8k20230427ex991.htm.txt,18,
S000220,2023Q2,CBT,2023-05-08,$500M-$1B,weak,-4,-1,-1,-1,2023-05-09,68.879997,2.9472,2.0761,8.4204,-1.9164,0.6678,0001157523-23-000768,a53394968ex99_1.htm,earnings_exhibit,37569,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CBT_000115752323000768_a53394968ex99_1.htm.txt,18,
S000221,2023Q2,CCL,2023-06-26,$1B-$2B,weak,-4,-1,-1,-1,2023-06-27,14.750000,29.0848,20.0678,23.5254,6.5085,-5.7627,0000815097-23-000045,a20232qearningsrelease8-k.htm,earnings_exhibit,46999,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CCL_000081509723000045_a20232qearningsrelease8-k.htm.txt,18,
S000222,2023Q2,CDRE,2023-05-09,$100M-$500M,mixed,0,-1,1,1,2023-05-10,21.990000,2.0919,-5.6844,-8.7312,0.1819,6.1846,0001558370-23-008849,cdre-20230509xex99d1.htm,earnings_exhibit,18267,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CDRE_000155837023008849_cdre-20230509xex99d1.htm.txt,18,
S000223,2023Q2,CFLT,2023-05-03,$100M-$500M,weak,-4,-1,-1,-1,2023-05-04,21.709999,10.6863,32.9341,63.2427,57.7154,42.8835,0000950170-23-017166,cflt-ex99_1.htm,earnings_exhibit,27493,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CFLT_000095017023017166_cflt-ex99_1.htm.txt,18,
S000224,2023Q2,CHEF,2023-05-03,$1B-$2B,mixed,1,-1,1,0,2023-05-04,34.259998,-2.5102,-5.5166,-6.8301,5.2831,-7.7350,0001517175-23-000009,pressreleaseex99103312023.htm,earnings_exhibit,22464,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CHEF_000151717523000009_pressreleaseex99103312023.htm.txt,18,
S000225,2023Q2,CMCO,2023-04-26,$500M-$1B,weak,-2,-1,1,-1,2023-04-27,33.590000,2.5901,6.1923,10.4793,20.6609,22.0899,0001005229-23-000065,projectphoenix-cleanuvzx.htm,earnings_exhibit,113083,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CMCO_000100522923000065_projectphoenix-cleanuvzx.htm.txt,18,
S000226,2023Q2,COIN,2023-05-04,$1B-$2B,weak,-2,-1,-1,1,2023-05-05,54.049999,12.4329,5.2174,8.6216,44.9584,67.9001,0001679788-23-000071,q123shareholderletter.htm,earnings_exhibit,67355,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/COIN_000167978823000071_q123shareholderletter.htm.txt,18,
S000227,2023Q2,COMP,2023-05-09,$2B-$10B,weak,-1,-1,-1,0,2023-05-10,3.540000,18.0791,-5.3672,-0.5650,-8.7571,8.7571,0001563190-23-000108,exhibit9918-k1q23pr.htm,earnings_exhibit,23597,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/COMP_000156319023000108_exhibit9918-k1q23pr.htm.txt,18,
S000228,2023Q2,COOK,2023-05-10,$100M-$500M,weak,-4,-1,-1,-1,2023-05-11,153.000000,18.3007,20.5882,38.8889,29.7386,84.3137,0001857853-23-000045,q1-23earningspressrelease.htm,earnings_exhibit,21465,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/COOK_000185785323000045_q1-23earningspressrelease.htm.txt,18,
S000229,2023Q2,CRSR,2023-05-10,$100M-$500M,weak,-2,-1,-1,1,2023-05-11,17.549999,13.5043,12.3647,6.7236,-0.9117,-6.7806,0000950170-23-020498,crsr-ex99_1.htm,earnings_exhibit,22250,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CRSR_000095017023020498_crsr-ex99_1.htm.txt,18,
S000230,2023Q2,CTOS,2023-05-09,$100M-$500M,weak,-4,-1,-1,-1,2023-05-10,6.440000,7.1429,1.7081,8.6957,6.2112,2.7950,0001709682-23-000042,ex991q1-2023pressrelease.htm,earnings_exhibit,36966,/Users/aeternusholdings/Documents/GitHub/AeternusHoldings/cache/sec/sec_docs_text/CTOS_000170968223000042_ex991q1-2023pressrelease.htm.txt,18,
