quarter,ticker,cik,metadata_status,has_10q_10k_before_or_in_qtr,latest_10q_10k_form,latest_10q_10k_filing_date,latest_10q_10k_accession,item_202_8k_count_in_qtr,item_202_8k_with_ex99_count,item_202_8k_dates,item_202_8k_accessions,ex99_1_documents,passes_metadata_gate,metadata_gate_reason
2024Q3,ALGN,1097149,ok,True,10-Q,2024-08-02,0001097149-24-000049,1,1,2024-07-24,0001097149-24-000045,algn-q224earningspressrele.htm,True,included
2024Q3,ALGT,1362468,ok,True,10-Q,2024-08-06,0001362468-24-000043,1,1,2024-07-31,0001362468-24-000040,a2024q28-kex991.htm,True,included
2024Q3,ALHC,1832466,ok,True,10-Q,2024-08-01,0001628280-24-034114,1,0,2024-08-01,0001171843-24-004355,,False,missing_ex99_1_for_item_202
2024Q3,ALIT,1809104,ok,True,10-Q,2024-08-06,0001809104-24-000015,1,0,2024-08-06,0001809104-24-000010,,False,missing_ex99_1_for_item_202
2024Q3,ALKS,1520262,ok,True,10-Q,2024-07-24,0000950170-24-085873,1,1,2024-07-24,0000950170-24-085860,alks-ex99_1.htm;alks-ex99_2.htm,True,included
2024Q3,ALKT,1529274,ok,True,10-Q,2024-08-01,0001529274-24-000168,1,1,2024-07-31,0001529274-24-000166,exhibit991-earningsrelease.htm;investorpresentationq2fy.htm,True,included
2024Q3,ALL,899051,ok,True,10-Q,2024-07-31,0000899051-24-000054,1,1,2024-07-31,0000899051-24-000053,allcorp63024earningsreleas.htm,True,included
2024Q3,ALLE,1579241,ok,True,10-Q,2024-07-24,0001579241-24-000045,1,1,2024-07-24,0001579241-24-000044,exhibit991-pressreleasedat.htm,True,included
2024Q3,ALLO,1737287,ok,True,10-Q,2024-08-07,0001737287-24-000056,1,0,2024-08-07,0001737287-24-000055,,False,missing_ex99_1_for_item_202
2024Q3,ALNT,46129,ok,True,10-Q,2024-08-07,0001558370-24-011363,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,ALNY,1178670,ok,True,10-Q,2024-08-01,0001178670-24-000041,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,ALRM,1459200,ok,True,10-Q,2024-08-08,0001459200-24-000021,1,1,2024-08-08,0001459200-24-000020,ex991earningsreleasejune30.htm,True,included
2024Q3,ALT,1326190,ok,True,10-Q,2024-08-08,0001326190-24-000030,1,1,2024-08-08,0001326190-24-000027,alt-20240808xex99d1.htm,True,included
2024Q3,ALTG,1759824,ok,True,10-Q,2024-08-07,0000950170-24-092871,1,1,2024-08-07,0000950170-24-092824,altg-ex99_1.htm,True,included
2024Q3,ALTI,1838615,ok,True,10-Q,2024-08-09,0001628280-24-036413,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,ALTS,862861,ok,True,10-Q,2024-08-19,0001628280-24-037717,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,ALX,3499,ok,True,10-Q,2024-08-05,0000003499-24-000030,0,0,,,,False,missing_8k_item_202_in_qtr
2024Q3,ALXO,1810182,ok,True,10-Q,2024-08-12,0000950170-24-095391,1,1,2024-08-08,0000950170-24-093930,alxo-ex99_1.htm,True,included
2024Q3,AMAT,6951,ok,True,10-Q,2024-08-22,0000006951-24-000032,1,1,2024-08-15,0000006951-24-000026,exhibit991q32024earningsre.htm,True,included
2024Q3,AMBA,1280263,ok,True,10-Q,2024-09-04,0000950170-24-103199,1,1,2024-08-27,0001193125-24-207779,d890318dex991.htm,True,included
2024Q3,AMC,1411579,ok,True,10-Q,2024-08-02,0001411579-24-000060,3,3,2024-07-22;2024-07-24;2024-08-02,0001104659-24-081453;0001104659-24-082365;0001411579-24-000058,tm2419663d1_ex99-1.htm;tm2420072d1_ex99-1.htm;amc-20240802xex99d1.htm,True,included
2024Q3,AMCR,1748790,ok,True,10-K,2024-08-16,0001748790-24-000022,1,1,2024-08-15,0001748790-24-000020,amcor4q2024ex991-june302024.htm;exhibit992-q4fy24investo.htm,True,included
2024Q3,AMCX,1514991,ok,True,10-Q,2024-08-09,0001514991-24-000034,1,1,2024-08-09,0001514991-24-000032,amcx-80924ex991.htm,True,included
2024Q3,AMD,2488,ok,True,10-Q,2024-07-31,0000002488-24-000123,1,1,2024-07-30,0000002488-24-000121,amdq224earningsslides.htm,True,included
2024Q3,AME,1037868,ok,True,10-Q,2024-08-01,0001037868-24-000048,1,1,2024-08-01,0001037868-24-000045,ametek8kexhibit9918-1x24.htm,True,included
2024Q3,AMGN,318154,ok,True,10-Q,2024-08-07,0000318154-24-000035,1,1,2024-08-06,0000318154-24-000033,amgn-20240630earningsrelea.htm,True,included
2024Q3,AMKR,1047127,ok,True,10-Q,2024-07-30,0001047127-24-000159,1,1,2024-07-29,0001047127-24-000156,amkr6302024erex-991.htm,True,included
2024Q3,AMN,1142750,ok,True,10-Q,2024-08-09,0001142750-24-000050,1,1,2024-08-08,0000950142-24-002148,eh240517074_ex9901.htm,True,included
2024Q3,AMP,820027,ok,True,10-Q,2024-08-06,0000820027-24-000079,1,0,2024-07-24,0000820027-24-000065,,False,missing_ex99_1_for_item_202
