quarter,asof_date,ticker,included,filter_reason,liquidity_flag,asset_class,sector_gics,seed_sources,sec_facts_status,cik,revenue_fact_name,revenue_filed,revenue_form,revenue_period_end,revenue_value,price_date,raw_close,avg_dollar_volume_60d
2024Q3,2024-07-01,ACGL,True,included,,Equity,Financials,sp500;nasdaq,ok,947484,Revenues,2024-05-09,10-Q,2023-03-31,3168000000,2024-07-01,100.6500015258789,170042851.12161002
2024Q3,2024-07-01,ACH,True,included,,Equity,,russell2000,ok,75252,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-03,10-Q,2023-03-31,2522849000,2024-07-01,13.020000457763672,15076266.473337809
2024Q3,2024-07-01,ACHC,True,included,,Equity,,nasdaq,ok,1520697,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-02,10-Q,2023-03-31,704267000,2024-07-01,67.01000213623047,61058667.83192953
2024Q3,2024-07-01,ACHV,True,included,low_liquidity_keep,Equity,,nasdaq,ok,949858,RevenueFromContractWithCustomerExcludingAssessedTax,2020-03-13,10-K,2019-12-31,0,2024-07-01,4.78000020980835,1085858.1710092227
2024Q3,2024-07-01,ACIC,True,included,,Equity,,nasdaq;russell2000,ok,1401521,Revenues,2024-05-10,10-Q,2023-03-31,90320000,2024-07-01,10.850000381469727,2830168.9300092063
2024Q3,2024-07-01,ACIW,True,included,,Equity,,nasdaq;russell2000,ok,935036,RevenueFromContractWithCustomerExcludingAssessedTax,2024-04-30,10-Q,2023-03-31,289676000,2024-07-01,39.18000030517578,22327884.617935818
2024Q3,2024-07-01,ACLS,True,included,,Equity,,nasdaq;russell2000,ok,1113232,Revenues,2024-05-02,10-Q,2023-03-31,254020000,2024-07-01,140.69000244140625,61526530.18745422
2024Q3,2024-07-01,ACLX,True,included,,Equity,,nasdaq;russell2000,ok,0001786205,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-09,10-Q,2023-03-31,17912000,2024-07-01,53.599998474121094,26041638.108393352
2024Q3,2024-07-01,ACMR,True,included,,Equity,,nasdaq;russell2000,ok,1680062,RevenueFromContractWithCustomerExcludingAssessedTax,2024-05-08,10-Q,2023-03-31,74256000,2024-07-01,23.190000534057617,30468577.54983266
2024Q3,2024-07-01,ACN,True,included,,Equity,Technology,sp500,ok,1467373,Revenues,2024-06-20,10-Q,2023-05-31,48126545000,2024-07-01,302.54998779296875,1085925559.7773235
