quarter,ticker,event_date,revenue_bucket,revenue_value_millions,avg_dollar_volume_60d,earnings_score,earnings_score_bucket,guidance_torque,earnings_torque,segment_wave_torque,margin_quality,warning_penalty,guidance_vs_current_pct,score_status,score_missing_fields,extraction_source,quarter_revenue_millions,quarter_revenue_yoy_pct,guidance_revenue_millions,numeric_evidence_count,guidance_evidence_count,wave_or_demand_evidence_count,warning_or_risk_evidence_count,exhibit_doc_count,exhibit_text_len,tradable_date,entry_open,return_10d_pct,return_20d_pct,return_30d_pct,return_60d_pct,return_90d_pct,adv_bucket_fine
2024Q3,BXMT,2024-07-24,<$100M,14.716,36494990.3,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,4,6,6,2,30426,2024-07-25,17.219999,-0.1742,1.2195,6.0395,15.7956,10.9175,$25M-$50M ADV
2024Q3,CADL,2024-08-13,<$100M,0.125,26655687.94,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,0,4,6,6,1,14772,2024-08-14,5.800000,1.0345,8.7931,20.8621,3.4483,-22.9310,$25M-$50M ADV
2024Q3,CBSH,2024-07-18,<$100M,0.0,25911237.4,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,178.3,,,6,3,6,6,2,58441,2024-07-19,57.886620,1.8490,-5.2178,-2.3974,-2.4287,-4.2463,$25M-$50M ADV
2024Q3,CIFR,2024-08-13,<$100M,21.895,35222855.8,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,5,6,6,6,2,34960,2024-08-14,4.000000,0.2500,-20.0000,-22.7500,8.0000,83.7500,$25M-$50M ADV
2024Q3,CLSK,2024-08-09,<$100M,70.365,511366052.85,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,104.1,,,3,3,6,6,1,18363,2024-08-12,11.110000,6.8407,-18.8119,-16.3816,-13.6814,58.5059,>$100M ADV
2024Q3,COLB,2024-07-25,<$100M,83.312,38488860.68,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,6,6,6,2,148369,2024-07-26,25.040001,-7.3482,-5.7109,0.0000,4.1534,12.8994,$25M-$50M ADV
2024Q3,CPT,2024-08-01,<$100M,0.578,90692205.32,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,344.6,,,6,6,6,6,2,116006,2024-08-02,115.959999,3.0873,4.3377,9.1756,5.7261,-0.1466,$75M-$100M ADV
2024Q3,CRNX,2024-08-08,<$100M,2.679,42006559.06,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,0.4,,,1,6,6,4,1,14268,2024-08-09,48.360001,9.4293,8.9744,8.0232,6.9065,23.6766,$25M-$50M ADV
2024Q3,CTRE,2024-08-02,<$100M,50.606,32658592.76,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,6,6,6,6,2,88311,2024-08-05,26.080000,6.7868,12.0399,14.3788,16.4494,19.0951,$25M-$50M ADV
2024Q3,CYTK,2024-08-08,<$100M,4.613,114409112.05,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,0.2,,,2,4,6,4,1,21563,2024-08-09,52.000000,8.5769,10.3654,7.3654,4.4808,7.3846,>$100M ADV
2024Q3,DBRG,2024-08-07,<$100M,18.496,35243563.89,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,390,,,6,6,6,6,1,70886,2024-08-08,13.050000,-6.5134,-4.7510,-14.3295,14.2529,-2.2222,$25M-$50M ADV
2024Q3,DNA,2024-08-08,<$100M,80.702,37035570.93,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,56,,,1,1,6,6,1,23315,2024-08-09,12.400000,-24.5161,-42.8226,-56.7742,-32.7419,-32.4194,$25M-$50M ADV
2024Q3,ENVX,2024-07-31,<$100M,0.021,66456950.11,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,3.8,,,6,6,6,6,1,29835,2024-08-01,13.860000,-28.2107,-24.2424,-37.7706,-32.6118,-24.3867,$50M-$75M ADV
2024Q3,EWBC,2024-07-23,<$100M,41.219,60608003.02,,not_scored,,,,,,,missing_required_data,quarter_revenue_millions;quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,,,,5,2,6,6,1,23709,2024-07-24,85.000000,-9.6118,-8.0588,-0.3647,-3.0588,6.3294,$50M-$75M ADV
2024Q3,FCEL,2024-09-05,<$100M,75.422,39144041.81,,not_scored,,,,,,,missing_required_data,quarter_revenue_yoy_pct;guidance_revenue_millions,regex_fallback,23.7,,,6,6,6,6,2,52261,2024-09-06,12.900000,9.3023,-9.3023,-16.2791,-13.9535,-16.7442,$25M-$50M ADV
