quarter,ticker,cik,metadata_status,item_202_8k_count,item_202_event_dates,item_202_accessions,primary_8k_docs,earnings_exhibit_docs,earnings_exhibit_doc_count,latest_periodic_form,latest_periodic_filing_date,latest_periodic_accession,latest_periodic_doc,primary_8k_cached_count,earnings_exhibit_cached_count,periodic_cached,ready_for_earnings_extraction,ready_for_periodic_extraction,quality_fail_reasons,audit_reasons
2023Q3,MMI,1578732,ok,1,2023-08-04,0001578732-23-000025,mmi-20230804.htm,er-q223earningsrelease.htm,1,10-Q,2023-08-04,0001578732-23-000030,mmi-20230630.htm,1,1,True,True,True,,ready
2023Q3,MMS,1032220,ok,1,2023-08-03,0001032220-23-000064,mms-20230802.htm,mms-2023x06x30x8kxex991.htm,1,10-Q,2023-08-03,0001032220-23-000066,mms-20230630.htm,1,1,True,True,True,,ready
2023Q3,MMSI,856982,ok,1,2023-07-25,0000856982-23-000046,mmsi-20230725x8k.htm,mmsi-20230725xex99d1.htm;mmsi-20230725xex99d2.htm,2,10-Q,2023-07-28,0000856982-23-000049,mmsi-20230630x10q.htm,1,2,True,True,True,,ready
2023Q3,MNRO,876427,ok,1,2023-07-26,0001193125-23-194490,d494441d8k.htm,d494441dex991.htm,1,10-Q,2023-07-26,0001562762-23-000292,mnro-20230624x10q.htm,1,1,True,True,True,,ready
2023Q3,MNST,865752,ok,1,2023-08-03,0001104659-23-087294,tm2322746d1_8k.htm,tm2322746d1_ex99-1.htm,1,10-Q,2023-08-04,0001104659-23-087927,mnst-20230630x10q.htm,1,1,True,True,True,,ready
2023Q3,MO,764180,ok,1,2023-08-01,0000764180-23-000112,mo-20230801.htm,exhibit991erq22023.htm,1,10-Q,2023-08-01,0000764180-23-000113,mo-20230630.htm,1,1,True,True,True,,ready
2023Q3,MOD,67347,ok,1,2023-08-02,0001140361-23-037633,brhc20056836_8k.htm,brhc20056836_ex99-1.htm,1,10-Q,2023-08-03,0001140361-23-037810,brhc20056679_10q.htm,1,1,True,True,True,,ready
2023Q3,MORN,1289419,ok,1,2023-07-28,0001104659-23-085092,tm2322273d1_8k.htm,tm2322273d1_ex99-1.htm;tm2322273d1_ex99-2.htm;tm2322273d1_ex99-3.htm,3,10-Q,2023-07-28,0001289419-23-000015,morn-20230630.htm,1,3,True,True,True,,ready
2023Q3,MOS,1285785,ok,1,2023-08-01,0001243786-23-000127,mos-20230801.htm,performancedataq22023-ex992.htm;pressreleaseq22023-ex991.htm,2,10-Q,2023-08-02,0001618034-23-000015,mos-20230630.htm,1,2,True,True,True,,ready
2023Q3,MOV,72573,ok,1,2023-08-24,0000950142-23-002301,eh230393829_8k.htm,eh230393829_ex9901.htm,1,10-Q,2023-08-24,0000950170-23-044251,mov-20230731.htm,1,1,True,True,True,,ready
2023Q3,MPAA,918251,ok,1,2023-08-09,0001140361-23-038697,brhc20057100_8k.htm,brhc20057100_ex99-1.htm,1,10-Q,2023-08-09,0001140361-23-038793,brhc20056962_10q.htm,1,1,True,True,True,,ready
2023Q3,MQ,1522540,ok,1,2023-08-08,0001628280-23-028190,mq-20230808.htm,mqearningsrelease-q2x2023.htm,1,10-Q,2023-08-08,0001628280-23-028284,mq-20230630.htm,1,1,True,True,True,,ready
2023Q3,MRCY,1049521,ok,1,2023-08-15,0001049521-23-000029,mrcy-20230815.htm,a2023q4earningsreleaseex.htm;exhibit993.htm;q4fy23earningspresentati.htm,3,10-K,2023-08-15,0001049521-23-000031,mrcy-20230630.htm,1,3,True,True,True,,ready
2023Q3,MRNA,1682852,ok,1,2023-08-03,0001682852-23-000025,mrna-20230803.htm,exhibit9912023q2pressrelea.htm,1,10-Q,2023-08-03,0001682852-23-000027,mrna-20230630.htm,1,1,True,True,True,,ready
2023Q3,MRSH,62709,ok,1,2023-07-20,0000062709-23-000072,mmc-20230720.htm,mmc2q2023ex991newsrelease.htm,1,10-Q,2023-07-20,0000062709-23-000075,mmc-20230630.htm,1,1,True,True,True,,ready
2023Q3,MRVL,1835632,ok,1,2023-08-24,0001835632-23-000036,mrvl-20230824.htm,q224_8kx7292023ex-991.htm,1,10-Q,2023-08-25,0001835632-23-000038,mrvl-20230729.htm,1,1,True,True,True,,ready
2023Q3,MSCI,1408198,ok,1,2023-07-25,0001157523-23-001139,a53475341.htm,a53475341ex99_1.htm,1,10-Q,2023-07-25,0001408198-23-000039,msci-20230630.htm,1,1,True,True,True,,ready
2023Q3,MSGE,0001952073,ok,1,2023-08-18,0001193125-23-215492,d467998d8k.htm,d467998dex991.htm;d467998dex992.htm,2,10-K,2023-08-18,0001952073-23-000012,msge-20230630.htm,1,2,True,True,True,,ready
2023Q3,MSI,68505,ok,1,2023-08-03,0000068505-23-000035,msi-20230803.htm,msiq22023pressrelease.htm,1,10-Q,2023-08-03,0000068505-23-000039,msi-20230701.htm,1,1,True,True,True,,ready
2023Q3,MSTR,1050446,ok,0,,,,,0,10-Q,2023-08-01,0000950170-23-036448,mstr-20230630.htm,0,0,True,False,True,,missing_8k_item_202;earnings_docs_not_ready
2023Q3,MTB,36270,ok,1,2023-07-19,0000950170-23-033456,mtb-20230719.htm,mtb-ex99_1.htm,1,10-Q,2023-08-08,0000950170-23-039814,mtb-20230630.htm,1,1,True,True,True,,ready
2023Q3,MTCH,891103,ok,1,2023-08-01,0000891103-23-000096,mtch-20230801.htm,mtch8-k20230801ex991.htm,1,10-Q,2023-08-03,0000891103-23-000099,mtch-20230630.htm,1,1,True,True,True,,ready
2023Q3,MTD,1037646,ok,1,2023-07-27,0001037646-23-000022,mtd-20230727.htm,ex-991mtd8xkq22023.htm,1,10-Q,2023-07-28,0001037646-23-000024,mtd-20230630.htm,1,1,True,True,True,,ready
2023Q3,MTH,833079,ok,1,2023-07-27,0000833079-23-000127,mth-20230727.htm,mth20230630exhibit991.htm,1,10-Q,2023-07-28,0000833079-23-000131,mth-20230630.htm,1,1,True,True,True,,ready
2023Q3,MTRN,1104657,ok,1,2023-08-02,0001104657-23-000121,mtrn-20230802.htm,q22023pressrelease.htm,1,10-Q,2023-08-02,0001104657-23-000124,mtrn-20230630.htm,1,1,True,True,True,,ready
2023Q3,MTRX,866273,ok,1,2023-09-11,0000866273-23-000054,mtrx-20230911.htm,a063023exhibit99.htm,1,10-K,2023-09-12,0000866273-23-000058,mtrx-20230630.htm,1,1,True,True,True,,ready
2023Q3,MTSI,1493594,ok,1,2023-08-03,0001493594-23-000055,mtsi-20230803.htm,ex99_1earningsreleaseq3fy23.htm,1,10-Q,2023-08-03,0001493594-23-000057,mtsi-20230630.htm,1,1,True,True,True,,ready
2023Q3,MTUS,1598428,ok,1,2023-08-03,0000950170-23-038043,tmst-20230803.htm,tmst-ex99_1.htm,1,10-Q,2023-08-03,0000950170-23-038070,tmst-20230630.htm,1,1,True,True,True,,ready
2023Q3,MTW,61986,ok,1,2023-08-07,0000950170-23-039107,mtw-20230807.htm,mtw-ex99_1.htm,1,10-Q,2023-08-08,0000950170-23-039834,mtw-20230630.htm,1,1,True,True,True,,ready
2023Q3,MTX,891014,ok,1,2023-07-27,0000891014-23-000071,form8k_072723.htm,ex99_1.htm,1,10-Q,2023-07-28,0000891014-23-000074,form10q.htm,1,1,True,True,True,,ready
2023Q3,MUR,717423,ok,1,2023-08-03,0000717423-23-000048,mur-20230803.htm,mur-2023q2xex991.htm,1,10-Q,2023-08-03,0000717423-23-000050,mur-20230630.htm,1,1,True,True,True,,ready
2023Q3,MWA,1350593,ok,1,2023-08-03,0001350593-23-000031,mwa-20230803.htm,exhibit991pressreleasefy23.htm,1,10-Q,2023-08-04,0001350593-23-000033,mwa-20230630.htm,1,1,True,True,True,,ready
2023Q3,MXL,1288469,ok,1,2023-07-26,0001288469-23-000149,mxl-20230726.htm,a6302023exhibit991.htm,1,10-Q,2023-07-27,0001288469-23-000152,mxl-20230630.htm,1,1,True,True,True,,ready
2023Q3,MYE,69488,ok,1,2023-08-03,0000950170-23-037548,mye-20230803.htm,mye-ex99_1.htm,1,10-Q,2023-08-03,0000950170-23-037938,mye-20230630.htm,1,1,True,True,True,,ready
2023Q3,MYGN,899923,ok,1,2023-08-03,0000899923-23-000052,mygn-20230803.htm,mygn-xq223earningsreleasex.htm,1,10-Q,2023-08-04,0000899923-23-000058,mygn-20230630.htm,1,1,True,True,True,,ready
2023Q3,MZTI,57515,ok,1,2023-08-23,0000057515-23-000016,lanc-20230823.htm,a4q23earn6-30x23.htm,1,10-K,2023-08-23,0000057515-23-000017,lanc-20230630.htm,1,1,True,True,True,,ready
2023Q3,NATL,0001974138,ok,0,,,,,0,10-Q,2023-09-05,0001974138-23-000008,natl-20230630.htm,0,0,True,False,True,,missing_8k_item_202;earnings_docs_not_ready
2023Q3,NATR,275053,ok,1,2023-08-10,0001628280-23-028711,natr-20230809.htm,natrq22023earningsrelease.htm,1,10-Q,2023-08-09,0001628280-23-028655,natr-20230630.htm,1,1,True,True,True,,ready
2023Q3,NBIX,914475,ok,1,2023-08-01,0000914475-23-000056,nbix-20230801.htm,q2-2023xearningsrelease.htm,1,10-Q,2023-08-01,0000914475-23-000057,nbix-20230630.htm,1,1,True,True,True,,ready
